season,team,home_games,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_per_game,home_win_rate,away_games,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_per_game,away_win_rate,home_away_gap
1994-1995,Ad. Demirspor,17,3,4,10,16,33,-17,13,0.765,0.176,17,0,2,15,9,48,-39,2,0.118,0.0,0.647
1994-1995,Altay,17,8,5,4,28,29,-1,29,1.706,0.471,17,3,6,8,16,28,-12,15,0.882,0.176,0.824
1994-1995,Ankaragucu,17,8,5,4,23,20,3,29,1.706,0.471,17,2,3,12,16,37,-21,9,0.529,0.118,1.177
1994-1995,Antalya,17,8,3,6,21,18,3,27,1.588,0.471,17,2,5,10,18,28,-10,11,0.647,0.118,0.941
1994-1995,Besiktas,17,14,1,2,45,11,34,43,2.529,0.824,17,10,6,1,35,15,20,36,2.118,0.588,0.411
1994-1995,Bursaspor,17,10,5,2,31,16,15,35,2.059,0.588,17,3,7,7,16,23,-7,16,0.941,0.176,1.118
1994-1995,Denizlispor,17,7,6,4,25,16,9,27,1.588,0.412,17,1,5,11,17,39,-22,8,0.471,0.059,1.117
1994-1995,Fenerbahce,17,13,3,1,51,14,37,42,2.471,0.765,17,7,4,6,27,21,6,25,1.471,0.412,1.0
1994-1995,Galatasaray,17,12,2,3,38,15,23,38,2.235,0.706,17,9,4,4,38,23,15,31,1.824,0.529,0.411
1994-1995,Gaziantepspor,17,12,3,2,32,13,19,39,2.294,0.706,17,2,3,12,18,37,-19,9,0.529,0.118,1.765
1994-1995,Genclerbirligi,17,11,4,2,33,17,16,37,2.176,0.647,17,6,4,7,27,28,-1,22,1.294,0.353,0.882
1994-1995,Kayseri,17,9,4,4,41,27,14,31,1.824,0.529,17,3,2,12,21,43,-22,11,0.647,0.176,1.177
1994-1995,Kocaelispor,17,11,5,1,42,19,23,38,2.235,0.647,17,1,3,13,15,41,-26,6,0.353,0.059,1.882
1994-1995,P. Ofisi,17,6,3,8,20,28,-8,21,1.235,0.353,17,2,2,13,18,45,-27,8,0.471,0.118,0.764
1994-1995,Samsunspor,17,8,5,4,37,24,13,29,1.706,0.471,17,4,4,9,17,36,-19,16,0.941,0.235,0.765
1994-1995,Trabzonspor,17,13,3,1,48,10,38,42,2.471,0.765,17,10,4,3,32,18,14,34,2.0,0.588,0.471
1994-1995,Vanspor,17,9,4,4,27,18,9,31,1.824,0.529,17,2,2,13,11,32,-21,8,0.471,0.118,1.353
1994-1995,Zeytinburnu,17,6,5,6,24,34,-10,23,1.353,0.353,17,1,4,12,11,40,-29,7,0.412,0.059,0.941
1995-1996,Altay,17,6,4,7,21,25,-4,22,1.294,0.353,17,3,5,9,14,31,-17,14,0.824,0.176,0.47
1995-1996,Ankaragucu,17,8,5,4,24,15,9,29,1.706,0.471,17,2,2,13,12,41,-29,8,0.471,0.118,1.235
1995-1996,Antalyaspor,17,9,3,5,25,19,6,30,1.765,0.529,17,4,3,10,20,36,-16,15,0.882,0.235,0.883
1995-1996,Besiktas,17,12,1,4,48,26,22,37,2.176,0.706,17,10,2,5,26,20,6,32,1.882,0.588,0.294
1995-1996,Bursaspor,17,7,5,5,37,21,16,26,1.529,0.412,17,3,6,8,19,27,-8,15,0.882,0.176,0.647
1995-1996,Denizlispor,17,4,5,8,18,24,-6,17,1.0,0.235,17,4,5,8,20,26,-6,17,1.0,0.235,0.0
