football_data_name,transfermarkt_name,manager,trainer_id,nationality,date_of_birth,start_date,end_date,age_at_appointment,experience_clubs_before,experience_years_before
Ad. Demirspor,Adana Demirspor,Kubilayhan Yücel,85399,Türkiye,1954-10-04,2025-11-07,,71.1,0,
Ad. Demirspor,Adana Demirspor,Hilmi Bozkurt,136834,Türkiye,1966-04-15,2025-10-25,2025-11-06,59.5,0,
Ad. Demirspor,Adana Demirspor,Koray Palaz,45316,Türkiye,1978-11-29,2025-07-05,2025-10-24,46.6,0,
Ad. Demirspor,Adana Demirspor,Mustafa Alper Avcı,51878,Türkiye,1981-08-18,2025-01-28,2025-06-30,43.4,0,
Ad. Demirspor,Adana Demirspor,Mustafa Dalcı,63323,Türkiye,1973-07-01,2024-11-29,2025-01-28,51.4,0,
Ad. Demirspor,Adana Demirspor,Serkan Damla,44479,Türkiye,1973-10-25,2024-09-23,2024-11-27,50.9,10,15.1
Ad. Demirspor,Adana Demirspor,Michael Valkanis,20119,Australia,1974-08-23,2024-07-08,2024-09-23,49.9,0,
Ad. Demirspor,Adana Demirspor,Hikmet Karaman,801,Türkiye,1960-03-09,2024-01-18,2024-07-08,63.9,0,
Ad. Demirspor,Adana Demirspor,Serkan Damla,44479,Türkiye,1973-10-25,2023-12-04,2024-01-18,50.1,8,14.3
Ad. Demirspor,Adana Demirspor,Patrick Kluivert,15093,Netherlands,1976-07-01,2023-07-01,2023-12-04,47.0,0,
Ad. Demirspor,Adana Demirspor,Vincenzo Montella,11795,Italy,1974-06-18,2021-09-02,2023-06-30,47.2,0,
Ad. Demirspor,Adana Demirspor,Samet Aybaba,5002,Türkiye,1955-02-03,2021-02-22,2021-08-29,66.1,23,30.6
Ad. Demirspor,Adana Demirspor,Cüneyt Dumlupınar,38778,Türkiye,1980-08-10,2020-12-15,2021-02-19,40.3,15,16.3
Ad. Demirspor,Adana Demirspor,Ümit Özat,10719,Türkiye,1976-10-30,2020-09-09,2020-12-13,43.9,13,11.2
Ad. Demirspor,Adana Demirspor,Cüneyt Dumlupınar,38778,Türkiye,1980-08-10,2020-03-10,2020-08-03,39.6,13,15.5
Ad. Demirspor,Adana Demirspor,Uğur Tütüneker,2492,Türkiye,1963-08-02,2019-09-10,2020-03-10,56.1,16,21.2
Ad. Demirspor,Adana Demirspor,Ümit Özat,10719,Türkiye,1976-10-30,2019-02-08,2019-09-03,42.3,11,9.6
Ad. Demirspor,Adana Demirspor,Yılmaz Vural,810,Türkiye,1953-01-01,2018-11-21,2019-02-08,65.9,0,
Ad. Demirspor,Adana Demirspor,Hakan Kutlu,5471,Türkiye,1972-01-14,2018-08-03,2018-11-11,46.6,0,
Ad. Demirspor,Adana Demirspor,Mustafa Uğur,2446,Türkiye,1963-01-19,2018-02-07,2018-06-30,55.1,15,20.6
Ad. Demirspor,Adana Demirspor,Timuçin Bayazit,43227,Türkiye,1972-10-26,2017-11-27,2018-02-05,45.1,6,8.0
Ad. Demirspor,Adana Demirspor,Gürcan Aday,57202,Türkiye,1958-02-12,2017-11-01,2017-11-27,59.7,3,23.2
Ad. Demirspor,Adana Demirspor,Giray Bulak,788,Türkiye,1958-03-09,2017-07-01,2017-10-30,59.3,21,26.8
Ad. Demirspor,Adana Demirspor,Tekin İncebaldır,53433,Türkiye,1964-01-19,2017-05-03,2017-06-30,53.3,8,9.7
Ad. Demirspor,Adana Demirspor,Engin İpekoğlu,5205,Türkiye,1961-06-07,2016-10-14,2017-05-02,55.4,10,13.3
Ad. Demirspor,Adana Demirspor,Erkan Sözeri,19095,Türkiye,1966-05-19,2016-08-11,2016-10-06,50.2,0,
Ad. Demirspor,Adana Demirspor,Yılmaz Vural,810,Türkiye,1953-01-01,2016-04-27,2016-06-30,63.3,0,
Ad. Demirspor,Adana Demirspor,Tayfur Havutçu,7877,Türkiye,1970-04-23,2016-03-04,2016-04-25,45.9,6,9.1
Ad. Demirspor,Adana Demirspor,Osman Özköylü,9284,Türkiye,1971-08-26,2015-08-07,2016-03-03,43.9,0,
Ad. Demirspor,Adana Demirspor,Ünal Karaman,4776,Türkiye,1966-06-29,2014-08-21,2015-06-30,48.1,11,14.0
Ad. Demirspor,Adana Demirspor,Ercan Albay,10323,Türkiye,1954-12-04,2014-03-05,2014-06-30,59.2,15,23.7
Ad. Demirspor,Adana Demirspor,Nurettin Yılmaz,23371,Türkiye,1962-01-01,2014-02-18,2014-03-05,52.1,11,17.0
Ad. Demirspor,Adana Demirspor,Mustafa Uğur,2446,Türkiye,1963-01-19,2013-11-14,2014-02-17,50.8,12,16.3
Ad. Demirspor,Adana Demirspor,Yücel İldiz,5204,Türkiye,1953-06-04,2013-08-02,2013-11-08,60.2,16,23.1
Ad. Demirspor,Adana Demirspor,Mustafa Uğur,2446,Türkiye,1963-01-19,2012-10-04,2013-06-30,49.7,11,15.2
Ad. Demirspor,Adana Demirspor,Osman Özdemir,5215,Türkiye,1961-09-01,2012-08-24,2012-10-03,51.0,11,15.7
