trainer_id,trainer_slug,manager,nationality,date_of_birth,place_of_birth,citizenship
85399,kubilayhan-yucel,Kubilayhan Yücel,Türkiye,1954-10-04,Adana,Türkiye
136834,hilmi-bozkurt,Hilmi Bozkurt,Türkiye,1966-04-15,Izmir,Türkiye
45316,koray-palaz,Koray Palaz,Türkiye,1978-11-29,Istanbul,Türkiye England
51878,mustafa-alper-avci,Mustafa Alper Avcı,Türkiye,1981-08-18,Izmir,Türkiye
63323,mustafa-dalci,Mustafa Dalcı,Türkiye,1973-07-01,Sivas,Türkiye
44479,serkan-damla,Serkan Damla,Türkiye,1973-10-25,Mersin,Türkiye
20119,michael-valkanis,Michael Valkanis,Australia,1974-08-23,Melbourne,Australia Greece
801,hikmet-karaman,Hikmet Karaman,Türkiye,1960-03-09,Giresun,Türkiye
15093,patrick-kluivert,Patrick Kluivert,Netherlands,1976-07-01,Amsterdam,Netherlands Suriname
11795,vincenzo-montella,Vincenzo Montella,Italy,1974-06-18,Pomigliano d'Arco,Italy
5002,samet-aybaba,Samet Aybaba,Türkiye,1955-02-03,Adana,Türkiye
38778,cuneyt-dumlupinar,Cüneyt Dumlupınar,Türkiye,1980-08-10,Izmir,Türkiye
10719,umit-ozat,Ümit Özat,Türkiye,1976-10-30,Ankara,Türkiye
2492,ugur-tutuneker,Uğur Tütüneker,Türkiye,1963-08-02,Bursa,Türkiye
810,yilmaz-vural,Yılmaz Vural,Türkiye,1953-01-01,Sakarya,Türkiye Germany
5471,hakan-kutlu,Hakan Kutlu,Türkiye,1972-01-14,Amasya,Türkiye
2446,mustafa-ugur,Mustafa Uğur,Türkiye,1963-01-19,Kayseri,Türkiye
43227,timucin-bayazit,Timuçin Bayazit,Türkiye,1972-10-26,Adana,Türkiye
57202,gurcan-aday,Gürcan Aday,Türkiye,1958-02-12,Istanbul,Türkiye
788,giray-bulak,Giray Bulak,Türkiye,1958-03-09,Trabzon,Türkiye
53433,tekin-incebaldir,Tekin İncebaldır,Türkiye,1964-01-19,Adana,Türkiye
5205,engin-ipekoglu,Engin İpekoğlu,Türkiye,1961-06-07,Izmir,Türkiye
19095,erkan-sozeri,Erkan Sözeri,Türkiye,1966-05-19,Ankara,Türkiye
7877,tayfur-havutcu,Tayfur Havutçu,Türkiye,1970-04-23,Hanau,Türkiye Germany
9284,osman-ozkoylu,Osman Özköylü,Türkiye,1971-08-26,Aydin,Türkiye
4776,unal-karaman,Ünal Karaman,Türkiye,1966-06-29,Konya,Türkiye
10323,ercan-albay,Ercan Albay,Türkiye,1954-12-04,Samsun,Türkiye
23371,nurettin-yilmaz,Nurettin Yılmaz,Türkiye,1962-01-01,Hatay,Türkiye
5204,yucel-ildiz,Yücel İldiz,Türkiye,1953-06-04,Adana,Türkiye
5215,osman-ozdemir,Osman Özdemir,Türkiye,1961-09-01,Sakarya,Türkiye
22825,durmus-ali-colak,Durmuş Ali Çolak,Türkiye,1965-08-18,Hatay,Türkiye
16987,ali-gunes,Ali Güneş,Türkiye,1961-07-15,Gaziantep,Türkiye
16910,soner-tolunguc,Soner Tolungüç,Türkiye,1964-10-14,Hatay,Türkiye
27072,huseyin-ozcan,Hüseyin Özcan,Türkiye,1966-01-04,Ordu,Türkiye
19093,abdulkerim-durmaz,Abdülkerim Durmaz,Türkiye,1960-09-13,Istanbul,Türkiye
43757,behzat-cinar,Behzat Çınar,Türkiye,1946-04-09,Ankara,Türkiye
2333,metin-yildiz,Metin Yıldız,Türkiye,1960-10-24,Sivas,Türkiye
22826,sadi-tekelioglu,Sadi Tekelioğlu,Türkiye,1955-01-15,Trabzon,Türkiye
2444,levent-eris,Levent Eriş,Türkiye,1962-09-17,Izmir,Türkiye
124265,mujdat-karanfilci,Müjdat Karanfilci,Türkiye,,,
31436,orhan-ucak,Orhan Uçak,Türkiye,1956-01-07,Adana,Türkiye
36705,ibrahim-uzunca,İbrahim Uzunca,Türkiye,1962-01-02,Adana,Türkiye
60758,ali-hosfikirer,Ali Hoşfikirer,Türkiye,1944-03-05,Adana,Türkiye
799,kasim-gunduz,Kasım Gündüz,Türkiye,1957-08-28,Adana,Türkiye
61267,rasin-gurcan,Rasin Gürcan,Türkiye,1953-02-03,Izmir,Türkiye
33840,necati-ozcaglayan,Necati Özçağlayan,Türkiye,1953-05-15,Trabzon,Türkiye
10484,metin-turel,Metin Türel,Türkiye,1937-09-13,Istanbul,Türkiye
10372,ilyas-tufekci,İlyas Tüfekçi,Türkiye,1960-02-03,Istanbul,Türkiye
60737,nevzat-guzelirmak,Nevzat Güzelırmak,Türkiye,1942-01-01,Izmir,Türkiye
69590,cengiz-hosfikirer,Cengiz Hoşfikirer,Türkiye,1958-05-25,Adana,Türkiye
59973,kemal-omeragic,Kemal Omeragic,Serbia,1931-09-16,Skopje,Serbia North Macedonia
814,sakip-ozberk,Sakıp Özberk,Türkiye,1945-05-01,Gaziantep,Türkiye
61283,feridun-kose,Feridun Köse,Türkiye,1944-10-24,Ankara,Türkiye
66911,yasar-kartal,Yaşar Kartal,Türkiye,1934-01-15,Adana,Türkiye
4111,fuad-muzurovic,Fuad Muzurovic,Bosnia-Herzegovina,1945-11-03,Bijelo Polje,Bosnia-Herzegovina
84460,gurcan-berk,Gürcan Berk,Türkiye,1936-07-03,Izmir,Türkiye
99553,cetin-guler,Çetin Güler,Türkiye,1940-06-26,Istanbul,Türkiye
60108,gunduz-tekin-onay,Gündüz Tekin Onay,Türkiye,1942-05-31,Cankiri,Türkiye
143605,marko-valok,Marko Valok,Serbia,1927-03-05,Belgrade,Serbia
25822,coskun-ozari,Coşkun Özarı,Türkiye,1931-06-10,Istanbul,Türkiye
135935,dogan-emultay,Doğan Emültay,Türkiye,1927-01-29,Manisa,Türkiye
10483,zeynel-soyuer,Zeynel Soyuer,Türkiye,1939-12-15,Bursa,Türkiye
136803,yuksel-doganay,Yüksel Doğanay,Türkiye,1930-11-25,Kirklareli,Türkiye
106474,sabahattin-erman,Sabahattin Erman,Türkiye,1921-11-29,Istanbul,Türkiye
125218,ali-hikmet-aydinoglu,Ali Hikmet Aydınoğlu,Türkiye,1929-04-10,Adana,Türkiye
26216,abdulah-gegic,Abdulah Gegic,Serbia,1924-03-19,Novi Pazar,Serbia Türkiye
61728,kadri-aytac,Kadri Aytaç,Türkiye,1931-08-06,Istanbul,Türkiye
114975,huseyin-buran,Hüseyin Buran,Türkiye,,,Türkiye
110048,selahattin-tetik,Selahattin Tetik,Türkiye,1905-07-01,Ankara,Türkiye
116648,ahmet-aribogan,Ahmet Arıboğan,Türkiye,1927-07-18,Adana,Türkiye
150056,savas-bahadir,Savaş Bahadır,Türkiye,1976-11-14,Adana,Türkiye
2032,yuksel-yesilova,Yüksel Yeşilova,Türkiye,1972-01-24,Adana,Türkiye
125469,ercan-unal,Ercan Ünal,Türkiye,1982-10-10,Adana,Türkiye
64778,hakan-keles,Hakan Keleş,Türkiye,1972-01-08,Sakarya,Türkiye
19920,yusuf-simsek,Yusuf Şimşek,Türkiye,1975-07-20,Antalya,Türkiye
10144,kemal-kilic,Kemal Kılıç,Türkiye,1956-04-25,Adana,Türkiye
1228,francois-ciccolini,François Ciccolini,France,1962-06-03,Cozzano,France
112571,sol-bamba,Sol Bamba,Cote d'Ivoire,1985-01-13,Ivry-sur-Seine,Cote d'Ivoire France
31384,eyup-arin,Eyüp Arın,Türkiye,1962-06-19,Adana,Türkiye
27861,mustafa-kaplan,Mustafa Kaplan,Türkiye,,,
71537,ozhan-pulat,Özhan Pulat,Türkiye,1984-10-30,Bursa,Türkiye
38319,onder-karaveli,Önder Karaveli,Türkiye,1974-03-26,Istanbul,Türkiye
19341,sait-karafirtinalar,Sait Karafırtınalar,Türkiye,1969-01-01,Izmir,Türkiye
68495,firat-gul,Fırat Gül,Türkiye,1984-07-09,Amasya,Türkiye
88762,emrah-bayraktar,Emrah Bayraktar,Türkiye,1976-10-19,Adana,Türkiye
77155,yunus-ceylan,Yunus Ceylan,Türkiye,1979-12-25,Istanbul,Türkiye
37937,fatih-akyel,Fatih Akyel,Türkiye,1977-12-26,Istanbul,Türkiye
8012,coskun-demirbakan,Coşkun Demirbakan,Türkiye,1954-11-10,Eskisehir,Türkiye
5540,cihat-arslan,Cihat Arslan,Türkiye,1970-02-09,Balikesir,Türkiye
2628,levent-sahin,Levent Şahin,Türkiye,1973-09-20,Balikesir,Türkiye
4756,krunoslav-jurcic,Krunoslav Jurcic,Croatia,1969-11-26,Ljubuski,Croatia
804,guvenc-kurtar,Güvenç Kurtar,Türkiye,1950-07-25,Usak,Türkiye
8914,ekrem-al,Ekrem Al,Türkiye,1955-01-01,Trabzon,Türkiye
16263,cemal-gursel-mentese,Cemal Gürsel Menteşe,Türkiye,1965-11-01,Trabzon,Türkiye
8010,mustafa-capanoglu,Mustafa Çapanoğlu,Türkiye,1956-01-01,Kayseri,Türkiye
2022,husnu-ozkara,Hüsnü Özkara,Türkiye,1955-01-25,Trabzon,Türkiye
12053,huseyin-kalpar,Hüseyin Kalpar,Türkiye,1955-02-25,Gaziantep,Türkiye
64743,cihat-erbil,Cihat Erbil,Türkiye,1946-06-01,Kirklareli,Türkiye
87372,ibrahim-okutan,İbrahim Okutan,Türkiye,1959-03-29,Adana,Türkiye
60759,zafer-gonculer,Zafer Göncüler,Türkiye,1950-11-22,Ankara,Türkiye
85397,sevket-kesler,Şevket Kesler,Türkiye,1956-10-31,Nevsehir,Türkiye
37857,ahmet-ziya-yuce,Ahmet Ziya Yüce,Türkiye,1957-07-06,Adana,Türkiye
17749,bahri-kaya,Bahri Kaya,Türkiye,1957-06-10,Trabzon,Türkiye
69200,ridvan-dilmen,Rıdvan Dilmen,Türkiye,1962-08-15,Aydin,Türkiye
495,joachim-low,Joachim Löw,Germany,1960-02-03,Schönau im Schwarzwald,Germany
2609,nenad-bijedic,Nenad Bijedic,Bosnia-Herzegovina,1959-09-24,Mostar,Bosnia-Herzegovina Türkiye
795,ziya-dogan,Ziya Doğan,Türkiye,1961-01-01,Gümüshane,Türkiye
5429,gheorghe-multescu,Gheorghe Mulțescu,Romania,1951-11-13,Botoroaga,Romania Türkiye
802,umit-kayihan,Ümit Kayıhan,Türkiye,1954-02-28,Izmir,Türkiye
64761,ali-osman-renklibay,Ali Osman Renklibay,Türkiye,1948-10-24,Konya,Türkiye
60117,necip-erdogan,Necip Erdoğan,Türkiye,1948-03-19,Yozgat,Türkiye
124322,aydin-tohumcu,Aydın Tohumcu,Türkiye,1943-02-01,Bilecik,Türkiye
108766,ender-konca,Ender Konca,Türkiye,1947-09-22,Istanbul,Türkiye
85275,isa-erturk,İsa Ertürk,Türkiye,1955-07-17,Ankara,Türkiye
28493,djordje-milic,Djordje Milic,Serbia,1943-10-27,Belgrad,Serbia
63302,nihat-atacan,Nihat Atacan,Türkiye,1942-01-23,Eskisehir,Türkiye
61776,halil-gungordu,Halil Güngördü,Türkiye,1943-01-09,Sakarya,Türkiye
62237,candan-dumanli,Candan Dumanlı,Türkiye,1939-01-07,Kayseri,Türkiye
71000,tamer-guney,Tamer Güney,Türkiye,1936-01-06,Bilecik,Türkiye
84715,cevdet-soyluoglu,Cevdet Soyluoğlu,Türkiye,1935-01-01,Konya,Türkiye
32874,bulent-eken,Bülent Eken,Türkiye,1923-10-26,Istanbul,Türkiye
108945,halil-ozyazici,Halil Özyazıcı,Türkiye,1923-01-01,,Türkiye
10633,isa-turan,İsa Turan,Türkiye,1969-08-06,Trabzon,Türkiye
123846,husnu-kosaner,Hüsnü Koşaner,Türkiye,1980-02-07,Manisa,Türkiye
107889,gorkem-gungor,Görkem Güngör,Türkiye,1987-03-15,Izmir,Türkiye
22945,ilker-yanar,İlker Yanar,Türkiye,1971-03-13,Izmir,Türkiye
111882,senturk-karabak,Sentürk Karabak,Türkiye,1966-10-02,Sivas,Türkiye
68148,theofanis-gekas,Theofanis Gekas,Greece,1980-05-23,Larisa,Greece
37672,muhammet-yilmaz,Muhammet Yilmaz,Türkiye,1971-09-09,Balikesir,Türkiye
18041,mesut-dilsoz,Mesut Dilsöz,Türkiye,1967-06-23,Bursa,Türkiye
61439,cem-kavcak,Cem Kavçak,Türkiye,1978-07-03,Manisa,Türkiye
5195,mehmet-altiparmak,Mehmet Altıparmak,Türkiye,1969-05-01,Ankara,Türkiye
2026,safet-susic,Safet Susic,Bosnia-Herzegovina,1955-04-13,Zavidovići,Bosnia-Herzegovina
23531,okan-buruk,Okan Buruk,Türkiye,1973-10-19,Istanbul,Türkiye
5006,tolunay-kafkas,Tolunay Kafkas,Türkiye,1968-03-31,Ankara,Türkiye
29100,roberto-carlos,Roberto Carlos,Brazil,1973-04-10,Garça,Brazil Spain
15266,mustafa-resit-akcay,Mustafa Reşit Akçay,Türkiye,1958-12-12,Trabzon,Türkiye
8536,hamza-hamzaoglu,Hamza Hamzaoğlu,Türkiye,1970-07-01,Komotini,Türkiye
15011,mehmet-atila-ozcan,Mehmet Atila Özcan,Türkiye,1951-01-01,Manisa,Türkiye
17969,mustafa-serin,Mustafa Serin,Türkiye,1955-10-24,Konya,Türkiye
89676,erhan-dodanli,Erhan Dodanlı,Türkiye,1952-05-02,Bitlis,Türkiye
77061,mehmet-celal-bolgen,Mehmet Celal Bölgen,Türkiye,1948-06-03,Kocaeli,Türkiye
123948,hayri-zabun,Hayri Zabun,Türkiye,1953-03-08,Balikesir,Türkiye
2821,turgut-ucar,Turgut Uçar,Türkiye,1964-03-10,Izmir,Türkiye
49550,can-cangok,Can Cangök,Türkiye,1960-02-18,Balikesir,Türkiye
41897,adnan-ozbagci,Adnan Özbağcı,Türkiye,1961-10-27,Izmir,Türkiye
123896,behic-basatugrul,Behiç Başatuğrul,Türkiye,1959-11-04,Manisa,Türkiye
84979,aydogan-tunay,Aydoğan Tunay,Türkiye,1945-02-02,Kocaeli,Türkiye
93770,joao-pereira,João Pereira,Portugal,1984-02-25,Lisboa,Portugal
90166,sami-ugurlu,Sami Uğurlu,Türkiye,1978-04-27,Izmir,Türkiye
29046,fatih-tekke,Fatih Tekke,Türkiye,1977-09-09,Trabzon,Türkiye
41081,omer-erdogan,Ömer Erdoğan,Türkiye,1977-05-03,Kassel,Türkiye Germany
811,ersun-yanal,Ersun Yanal,Türkiye,1961-12-17,Izmir,Türkiye
73923,francesco-farioli,Francesco Farioli,Italy,1989-04-10,Barga,Italy
4176,bulent-korkmaz,Bülent Korkmaz,Türkiye,1968-11-24,Malatya,Türkiye
46594,cagdas-atan,Çağdaş Atan,Türkiye,1980-02-28,Izmir,Türkiye
40285,erol-bulut,Erol Bulut,Türkiye,1975-01-31,Bad Schwalbach,Türkiye Germany
32128,sergen-yalcin,Sergen Yalçın,Türkiye,1972-11-05,Istanbul,Türkiye
784,mesut-bakkal,Mesut Bakkal,Türkiye,1964-03-19,Kirikkale,Türkiye
9012,erhan-altin,Erhan Altın,Türkiye,1956-08-28,Samsun,Türkiye
26625,ali-haydar-durusoy,Ali Haydar Durusoy,Türkiye,1961-01-01,Antalya,Türkiye
20968,armagan-turhan,Armağan Turhan,Türkiye,,,
22853,muharrem-ugur,Muharrem Uğur,Türkiye,1961-07-01,Konya,Türkiye
13266,altan-cetindag,Altan Çetindağ,Türkiye,1957-07-07,Izmir,Türkiye
19135,salih-kamil-kabay,Salih Kamil Kabay,Türkiye,1960-06-01,Burdur,Türkiye
60105,aldogan-argon,Aldoğan Argon,Türkiye,1952-03-24,Kocaeli,Türkiye
69125,rauf-kolanci,Rauf Kolancı,Türkiye,1969-01-15,Antalya,Türkiye
66634,yildirim-uran,Yıldırım Uran,Türkiye,1955-10-06,Ankara,Türkiye
6365,orhan-kapucu,Orhan Kapucu,Türkiye,1959-09-29,Batman,Türkiye
90012,sedat-gezer,Sedat Gezer,Türkiye,1954-11-15,Samsun,Türkiye
23630,mustafa-kahraman-karatas,Mustafa Kahraman Karataş,Türkiye,1954-11-01,Mersin,Türkiye
47520,mehmet-akdulger,Mehmet Akdülger,Türkiye,1957-09-12,Aydin,Türkiye
72425,tarik-soyleyici,Tarık Söyleyici,Türkiye,1956-04-17,Kütahya,Türkiye
35467,bulent-topuzoglu,Bülent Topuzoğlu,Türkiye,1957-12-22,Diyarbakir,Türkiye
70017,fatih-eser,Fatih Eser,Türkiye,1957-08-18,Ankara,Türkiye
66633,arda-vural,Arda Vural,Türkiye,1946-02-12,Izmir,Türkiye
69791,fevzi-zemzem,Fevzi Zemzem,Türkiye,1941-07-04,Hatay,Türkiye
118244,orhan-gulmez,Orhan Gülmez,Türkiye,1940-07-20,Ankara,Türkiye
117788,mehmet-can-karagoz,Mehmet Can Karagöz,Türkiye,1986-03-20,Izmir,Türkiye
65364,ramazan-kursunlu,Ramazan Kurşunlu,Türkiye,1981-07-07,Izmir,Türkiye Kosovo
92058,gokhan-karaaslan,Gökhan Karaaslan,Türkiye,1993-06-05,Eskisehir,Türkiye
26603,cuneyt-bicer,Cüneyt Biçer,Türkiye,1975-11-27,Izmir,Türkiye
69963,serkan-afacan,Serkan Afacan,Türkiye,1972-11-29,Balikesir,Türkiye
70092,djilali-bahloul,Djilali Bahloul,France,1982-01-09,Relizane,France Algeria
97759,ozkan-kilic,Özkan Kılıç,Türkiye,1982-11-17,Diyarbakir,Türkiye
100717,tuna-uzumcu,Tuna Üzümcü,Türkiye,1982-08-06,Izmir,Türkiye
84667,sinan-kaloglu,Sinan Kaloğlu,Türkiye,1981-06-10,Tunceli,Türkiye
59420,serkan-ozbalta,Serkan Özbalta,Türkiye,,,
