football_data_name,transfermarkt_name,manager,trainer_id,trainer_slug,nationality,start_date,end_date
Ad. Demirspor,Adana Demirspor,Kubilayhan Yücel,85399,kubilayhan-yucel,Türkiye,2025-11-07,
Ad. Demirspor,Adana Demirspor,Hilmi Bozkurt,136834,hilmi-bozkurt,Türkiye,2025-10-25,2025-11-06
Ad. Demirspor,Adana Demirspor,Koray Palaz,45316,koray-palaz,Türkiye,2025-07-05,2025-10-24
Ad. Demirspor,Adana Demirspor,Mustafa Alper Avcı,51878,mustafa-alper-avci,Türkiye,2025-01-28,2025-06-30
Ad. Demirspor,Adana Demirspor,Mustafa Dalcı,63323,mustafa-dalci,Türkiye,2024-11-29,2025-01-28
Ad. Demirspor,Adana Demirspor,Serkan Damla,44479,serkan-damla,Türkiye,2024-09-23,2024-11-27
Ad. Demirspor,Adana Demirspor,Michael Valkanis,20119,michael-valkanis,Australia,2024-07-08,2024-09-23
Ad. Demirspor,Adana Demirspor,Hikmet Karaman,801,hikmet-karaman,Türkiye,2024-01-18,2024-07-08
Ad. Demirspor,Adana Demirspor,Serkan Damla,44479,serkan-damla,Türkiye,2023-12-04,2024-01-18
Ad. Demirspor,Adana Demirspor,Patrick Kluivert,15093,patrick-kluivert,Netherlands,2023-07-01,2023-12-04
Ad. Demirspor,Adana Demirspor,Vincenzo Montella,11795,vincenzo-montella,Italy,2021-09-02,2023-06-30
Ad. Demirspor,Adana Demirspor,Samet Aybaba,5002,samet-aybaba,Türkiye,2021-02-22,2021-08-29
Ad. Demirspor,Adana Demirspor,Cüneyt Dumlupınar,38778,cuneyt-dumlupinar,Türkiye,2020-12-15,2021-02-19
Ad. Demirspor,Adana Demirspor,Ümit Özat,10719,umit-ozat,Türkiye,2020-09-09,2020-12-13
Ad. Demirspor,Adana Demirspor,Cüneyt Dumlupınar,38778,cuneyt-dumlupinar,Türkiye,2020-03-10,2020-08-03
Ad. Demirspor,Adana Demirspor,Uğur Tütüneker,2492,ugur-tutuneker,Türkiye,2019-09-10,2020-03-10
Ad. Demirspor,Adana Demirspor,Ümit Özat,10719,umit-ozat,Türkiye,2019-02-08,2019-09-03
Ad. Demirspor,Adana Demirspor,Yılmaz Vural,810,yilmaz-vural,Türkiye,2018-11-21,2019-02-08
Ad. Demirspor,Adana Demirspor,Hakan Kutlu,5471,hakan-kutlu,Türkiye,2018-08-03,2018-11-11
Ad. Demirspor,Adana Demirspor,Mustafa Uğur,2446,mustafa-ugur,Türkiye,2018-02-07,2018-06-30
Ad. Demirspor,Adana Demirspor,Timuçin Bayazit,43227,timucin-bayazit,Türkiye,2017-11-27,2018-02-05
Ad. Demirspor,Adana Demirspor,Gürcan Aday,57202,gurcan-aday,Türkiye,2017-11-01,2017-11-27
Ad. Demirspor,Adana Demirspor,Giray Bulak,788,giray-bulak,Türkiye,2017-07-01,2017-10-30
Ad. Demirspor,Adana Demirspor,Tekin İncebaldır,53433,tekin-incebaldir,Türkiye,2017-05-03,2017-06-30
Ad. Demirspor,Adana Demirspor,Engin İpekoğlu,5205,engin-ipekoglu,Türkiye,2016-10-14,2017-05-02
Ad. Demirspor,Adana Demirspor,Erkan Sözeri,19095,erkan-sozeri,Türkiye,2016-08-11,2016-10-06
Ad. Demirspor,Adana Demirspor,Yılmaz Vural,810,yilmaz-vural,Türkiye,2016-04-27,2016-06-30
Ad. Demirspor,Adana Demirspor,Tayfur Havutçu,7877,tayfur-havutcu,Türkiye,2016-03-04,2016-04-25
Ad. Demirspor,Adana Demirspor,Osman Özköylü,9284,osman-ozkoylu,Türkiye,2015-08-07,2016-03-03
Ad. Demirspor,Adana Demirspor,Ünal Karaman,4776,unal-karaman,Türkiye,2014-08-21,2015-06-30
Ad. Demirspor,Adana Demirspor,Ercan Albay,10323,ercan-albay,Türkiye,2014-03-05,2014-06-30
Ad. Demirspor,Adana Demirspor,Nurettin Yılmaz,23371,nurettin-yilmaz,Türkiye,2014-02-18,2014-03-05
Ad. Demirspor,Adana Demirspor,Mustafa Uğur,2446,mustafa-ugur,Türkiye,2013-11-14,2014-02-17
Ad. Demirspor,Adana Demirspor,Yücel İldiz,5204,yucel-ildiz,Türkiye,2013-08-02,2013-11-08
Ad. Demirspor,Adana Demirspor,Mustafa Uğur,2446,mustafa-ugur,Türkiye,2012-10-04,2013-06-30
Ad. Demirspor,Adana Demirspor,Osman Özdemir,5215,osman-ozdemir,Türkiye,2012-08-24,2012-10-03
Ad. Demirspor,Adana Demirspor,Ercan Albay,10323,ercan-albay,Türkiye,2012-04-05,2012-07-13
Ad. Demirspor,Adana Demirspor,Durmuş Ali Çolak,22825,durmus-ali-colak,Türkiye,2011-09-22,2012-02-29
Ad. Demirspor,Adana Demirspor,Ali Güneş,16987,ali-gunes,Türkiye,2011-02-18,2011-09-20
Ad. Demirspor,Adana Demirspor,Soner Tolungüç,16910,soner-tolunguc,Türkiye,2010-08-20,2011-02-15
Ad. Demirspor,Adana Demirspor,Hüseyin Özcan,27072,huseyin-ozcan,Türkiye,2010-01-29,2010-08-20
Ad. Demirspor,Adana Demirspor,Durmuş Ali Çolak,22825,durmus-ali-colak,Türkiye,2009-10-23,2010-01-26
Ad. Demirspor,Adana Demirspor,Abdülkerim Durmaz,19093,abdulkerim-durmaz,Türkiye,2009-01-21,2009-10-23
Ad. Demirspor,Adana Demirspor,Behzat Çınar,43757,behzat-cinar,Türkiye,2008-11-28,2009-01-20
Ad. Demirspor,Adana Demirspor,Metin Yıldız,2333,metin-yildiz,Türkiye,2008-08-29,2008-11-21
Ad. Demirspor,Adana Demirspor,Sadi Tekelioğlu,22826,sadi-tekelioglu,Türkiye,2008-03-13,2008-06-30
Ad. Demirspor,Adana Demirspor,Levent Eriş,2444,levent-eris,Türkiye,2007-08-14,2008-03-12
Ad. Demirspor,Adana Demirspor,Durmuş Ali Çolak,22825,durmus-ali-colak,Türkiye,2006-08-10,2007-04-12
Ad. Demirspor,Adana Demirspor,Müjdat Karanfilci,124265,mujdat-karanfilci,Türkiye,2006-01-03,2006-05-05
Ad. Demirspor,Adana Demirspor,Orhan Uçak,31436,orhan-ucak,Türkiye,2005-06-01,2006-01-06
Ad. Demirspor,Adana Demirspor,Nurettin Yılmaz,23371,nurettin-yilmaz,Türkiye,2004-10-01,2005-06-30
Ad. Demirspor,Adana Demirspor,İbrahim Uzunca,36705,ibrahim-uzunca,Türkiye,2003-07-01,2004-10-01
Ad. Demirspor,Adana Demirspor,Behzat Çınar,43757,behzat-cinar,Türkiye,2002-12-10,2003-06-30
Ad. Demirspor,Adana Demirspor,Ercan Albay,10323,ercan-albay,Türkiye,2000-07-01,2002-11-29
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,ali-hosfikirer,Türkiye,1999-09-25,2000-06-30
Ad. Demirspor,Adana Demirspor,Orhan Uçak,31436,orhan-ucak,Türkiye,1999-06-18,1999-09-24
Ad. Demirspor,Adana Demirspor,Kasım Gündüz,799,kasim-gunduz,Türkiye,1999-03-12,1999-06-30
Ad. Demirspor,Adana Demirspor,Rasin Gürcan,61267,rasin-gurcan,Türkiye,1998-11-04,1999-03-12
Ad. Demirspor,Adana Demirspor,Necati Özçağlayan,33840,necati-ozcaglayan,Türkiye,1998-08-01,1998-10-27
Ad. Demirspor,Adana Demirspor,Rasin Gürcan,61267,rasin-gurcan,Türkiye,1998-04-17,1998-06-30
Ad. Demirspor,Adana Demirspor,Metin Türel,10484,metin-turel,Türkiye,1997-01-20,1997-11-27
Ad. Demirspor,Adana Demirspor,İlyas Tüfekçi,10372,ilyas-tufekci,Türkiye,1996-09-19,1997-01-09
Ad. Demirspor,Adana Demirspor,Nevzat Güzelırmak,60737,nevzat-guzelirmak,Türkiye,1996-07-05,1996-09-19
Ad. Demirspor,Adana Demirspor,Yücel İldiz,5204,yucel-ildiz,Türkiye,1995-10-24,1996-05-29
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,ali-hosfikirer,Türkiye,1995-07-04,1995-10-24
Ad. Demirspor,Adana Demirspor,Cengiz Hoşfikirer,69590,cengiz-hosfikirer,Türkiye,1995-04-12,1995-06-30
Ad. Demirspor,Adana Demirspor,Kemal Omeragic,59973,kemal-omeragic,Serbia,1995-02-24,1995-04-12
Ad. Demirspor,Adana Demirspor,Samet Aybaba,5002,samet-aybaba,Türkiye,1994-07-08,1995-02-23
Ad. Demirspor,Adana Demirspor,Metin Türel,10484,metin-turel,Türkiye,1993-11-25,1994-06-30
Ad. Demirspor,Adana Demirspor,Ercan Albay,10323,ercan-albay,Türkiye,1993-07-09,1993-10-21
Ad. Demirspor,Adana Demirspor,Sakıp Özberk,814,sakip-ozberk,Türkiye,1992-11-12,1992-12-21
Ad. Demirspor,Adana Demirspor,Rasin Gürcan,61267,rasin-gurcan,Türkiye,1992-09-01,1992-11-12
Ad. Demirspor,Adana Demirspor,Kemal Omeragic,59973,kemal-omeragic,Serbia,1991-07-01,1992-06-30
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,ali-hosfikirer,Türkiye,1990-07-01,1991-06-30
Ad. Demirspor,Adana Demirspor,Rasin Gürcan,61267,rasin-gurcan,Türkiye,1990-02-23,1990-05-07
Ad. Demirspor,Adana Demirspor,Feridun Köse,61283,feridun-kose,Türkiye,1990-02-01,1990-02-23
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,ali-hosfikirer,Türkiye,1989-07-01,1990-01-08
Ad. Demirspor,Adana Demirspor,Yaşar Kartal,66911,yasar-kartal,Türkiye,1989-04-01,1989-06-30
Ad. Demirspor,Adana Demirspor,Metin Türel,10484,metin-turel,Türkiye,1988-12-01,1989-03-30
Ad. Demirspor,Adana Demirspor,Fuad Muzurovic,4111,fuad-muzurovic,Bosnia-Herzegovina,1987-07-01,1988-11-28
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,ali-hosfikirer,Türkiye,1986-07-01,1987-06-30
Ad. Demirspor,Adana Demirspor,Gürcan Berk,84460,gurcan-berk,Türkiye,1985-07-01,1985-11-10
Ad. Demirspor,Adana Demirspor,Çetin Güler,99553,cetin-guler,Türkiye,1984-07-01,1985-06-30
Ad. Demirspor,Adana Demirspor,Gündüz Tekin Onay,60108,gunduz-tekin-onay,Türkiye,1984-02-01,1984-06-30
Ad. Demirspor,Adana Demirspor,Ali Hoşfikirer,60758,ali-hosfikirer,Türkiye,1983-04-05,1983-12-11
Ad. Demirspor,Adana Demirspor,Marko Valok,143605,marko-valok,Serbia,1982-07-01,1984-06-30
Ad. Demirspor,Adana Demirspor,Coşkun Özarı,25822,coskun-ozari,Türkiye,1980-11-16,1982-06-30
Ad. Demirspor,Adana Demirspor,Doğan Emültay,135935,dogan-emultay,Türkiye,1978-07-01,1980-11-10
Ad. Demirspor,Adana Demirspor,Zeynel Soyuer,10483,zeynel-soyuer,Türkiye,1978-07-01,1979-06-30
Ad. Demirspor,Adana Demirspor,Yüksel Doğanay,136803,yuksel-doganay,Türkiye,1977-07-01,1978-06-30
Ad. Demirspor,Adana Demirspor,Sabahattin Erman,106474,sabahattin-erman,Türkiye,1976-07-01,1976-10-04
Ad. Demirspor,Adana Demirspor,Ali Hikmet Aydınoğlu,125218,ali-hikmet-aydinoglu,Türkiye,1976-01-09,1976-06-30
Ad. Demirspor,Adana Demirspor,Yüksel Doğanay,136803,yuksel-doganay,Türkiye,1974-07-01,1975-06-30
Ad. Demirspor,Adana Demirspor,Abdulah Gegic,26216,abdulah-gegic,Serbia,1973-07-01,1974-06-30
Ad. Demirspor,Adana Demirspor,Kadri Aytaç,61728,kadri-aytac,Türkiye,1972-07-01,1973-06-30
Ad. Demirspor,Adana Demirspor,Yüksel Doğanay,136803,yuksel-doganay,Türkiye,1971-07-01,1972-06-30
Ad. Demirspor,Adana Demirspor,Hüseyin Buran,114975,huseyin-buran,Türkiye,1968-07-01,1968-11-04
Ad. Demirspor,Adana Demirspor,Selahattin Tetik,110048,selahattin-tetik,Türkiye,1967-07-11,1967-09-08
Ad. Demirspor,Adana Demirspor,Ahmet Arıboğan,116648,ahmet-aribogan,Türkiye,1960-07-01,1961-06-30
Adanaspor,Adanaspor,Savaş Bahadır,150056,savas-bahadir,Türkiye,2025-10-17,
Adanaspor,Adanaspor,Yüksel Yeşilova,2032,yuksel-yesilova,Türkiye,2025-07-11,2025-10-10
Adanaspor,Adanaspor,Ercan Ünal,125469,ercan-unal,Türkiye,2025-04-17,2025-06-30
Adanaspor,Adanaspor,Hakan Keleş,64778,hakan-keles,Türkiye,2025-02-04,2025-04-16
Adanaspor,Adanaspor,Yusuf Şimşek,19920,yusuf-simsek,Türkiye,2024-10-31,2025-02-03
Adanaspor,Adanaspor,Kemal Kılıç,10144,kemal-kilic,Türkiye,2024-09-25,2024-10-27
Adanaspor,Adanaspor,François Ciccolini,1228,francois-ciccolini,France,2024-09-01,2024-09-24
Adanaspor,Adanaspor,Sol Bamba,112571,sol-bamba,Cote d'Ivoire,2024-07-25,2024-08-31
Adanaspor,Adanaspor,Kemal Kılıç,10144,kemal-kilic,Türkiye,2024-01-31,2024-06-30
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2024-01-19,2024-01-30
Adanaspor,Adanaspor,Mustafa Kaplan,27861,mustafa-kaplan,Türkiye,2023-11-03,2024-01-18
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2023-10-06,2023-11-03
Adanaspor,Adanaspor,Özhan Pulat,71537,ozhan-pulat,Türkiye,2023-08-07,2023-10-05
Adanaspor,Adanaspor,Kemal Kılıç,10144,kemal-kilic,Türkiye,2023-07-01,2023-07-25
Adanaspor,Adanaspor,Kemal Kılıç,10144,kemal-kilic,Türkiye,2022-12-21,2023-02-21
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2022-11-11,2022-12-20
Adanaspor,Adanaspor,Önder Karaveli,38319,onder-karaveli,Türkiye,2022-09-27,2022-11-11
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2022-09-12,2022-09-27
Adanaspor,Adanaspor,Mustafa Kaplan,27861,mustafa-kaplan,Türkiye,2022-06-09,2022-09-12
Adanaspor,Adanaspor,Sait Karafırtınalar,19341,sait-karafirtinalar,Türkiye,2021-10-01,2022-06-30
Adanaspor,Adanaspor,Fırat Gül,68495,firat-gul,Türkiye,2021-05-25,2021-09-26
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2021-03-19,2021-05-25
Adanaspor,Adanaspor,Emrah Bayraktar,88762,emrah-bayraktar,Türkiye,2021-01-27,2021-03-15
Adanaspor,Adanaspor,Yunus Ceylan,77155,yunus-ceylan,Türkiye,2020-09-21,2021-01-27
Adanaspor,Adanaspor,Fatih Akyel,37937,fatih-akyel,Türkiye,2020-09-10,2020-09-19
Adanaspor,Adanaspor,Coşkun Demirbakan,8012,coskun-demirbakan,Türkiye,2020-02-28,2020-08-03
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2020-01-31,2020-02-27
Adanaspor,Adanaspor,Engin İpekoğlu,5205,engin-ipekoglu,Türkiye,2019-10-08,2020-01-28
Adanaspor,Adanaspor,Levent Eriş,2444,levent-eris,Türkiye,2019-08-15,2019-10-11
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2019-02-21,2019-06-30
Adanaspor,Adanaspor,Coşkun Demirbakan,8012,coskun-demirbakan,Türkiye,2018-09-28,2019-02-18
Adanaspor,Adanaspor,Cihat Arslan,5540,cihat-arslan,Türkiye,2018-08-01,2018-09-25
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2018-03-06,2018-06-30
Adanaspor,Adanaspor,Osman Özköylü,9284,osman-ozkoylu,Türkiye,2017-12-13,2018-03-05
Adanaspor,Adanaspor,Kemal Kılıç,10144,kemal-kilic,Türkiye,2017-08-10,2017-12-05
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2017-04-10,2017-06-30
Adanaspor,Adanaspor,Levent Şahin,2628,levent-sahin,Türkiye,2017-01-10,2017-04-13
Adanaspor,Adanaspor,Krunoslav Jurcic,4756,krunoslav-jurcic,Croatia,2016-08-28,2016-12-05
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2016-08-18,2016-08-28
Adanaspor,Adanaspor,Engin İpekoğlu,5205,engin-ipekoglu,Türkiye,2015-11-19,2016-08-18
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2015-04-17,2015-11-18
Adanaspor,Adanaspor,Güvenç Kurtar,804,guvenc-kurtar,Türkiye,2015-01-12,2015-03-24
Adanaspor,Adanaspor,Levent Eriş,2444,levent-eris,Türkiye,2013-10-10,2015-01-09
Adanaspor,Adanaspor,Ercan Albay,10323,ercan-albay,Türkiye,2013-08-22,2013-10-01
Adanaspor,Adanaspor,Ekrem Al,8914,ekrem-al,Türkiye,2013-08-14,2013-08-21
Adanaspor,Adanaspor,Levent Eriş,2444,levent-eris,Türkiye,2011-07-15,2013-07-19
Adanaspor,Adanaspor,Osman Özdemir,5215,osman-ozdemir,Türkiye,2010-11-11,2011-03-01
Adanaspor,Adanaspor,Cemal Gürsel Menteşe,16263,cemal-gursel-mentese,Türkiye,2010-09-16,2010-10-27
Adanaspor,Adanaspor,Kemal Kılıç,10144,kemal-kilic,Türkiye,2009-10-08,2010-09-06
Adanaspor,Adanaspor,Ekrem Al,8914,ekrem-al,Türkiye,2009-08-16,2009-09-29
Adanaspor,Adanaspor,Ekrem Al,8914,ekrem-al,Türkiye,2009-01-16,2009-06-30
Adanaspor,Adanaspor,Metin Yıldız,2333,metin-yildiz,Türkiye,2008-11-21,2008-12-30
Adanaspor,Adanaspor,Mustafa Çapanoğlu,8010,mustafa-capanoglu,Türkiye,2008-10-10,2008-11-12
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2008-09-26,2008-10-10
Adanaspor,Adanaspor,Hüsnü Özkara,2022,husnu-ozkara,Türkiye,2008-07-01,2008-09-09
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2008-04-28,2008-06-30
Adanaspor,Adanaspor,Hüseyin Kalpar,12053,huseyin-kalpar,Türkiye,2008-03-06,2008-04-28
Adanaspor,Adanaspor,Kemal Kılıç,10144,kemal-kilic,Türkiye,2007-08-17,2008-03-03
Adanaspor,Adanaspor,Cihat Erbil,64743,cihat-erbil,Türkiye,2007-03-09,2007-06-30
Adanaspor,Adanaspor,İbrahim Okutan,87372,ibrahim-okutan,Türkiye,2007-01-25,2007-03-06
Adanaspor,Adanaspor,Zafer Göncüler,60759,zafer-gonculer,Türkiye,2006-09-05,2007-01-05
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2005-03-18,2005-06-30
Adanaspor,Adanaspor,Şevket Kesler,85397,sevket-kesler,Türkiye,2005-01-19,2005-03-03
Adanaspor,Adanaspor,Ahmet Ziya Yüce,37857,ahmet-ziya-yuce,Türkiye,2004-07-06,2004-11-12
Adanaspor,Adanaspor,Eyüp Arın,31384,eyup-arin,Türkiye,2004-01-30,2004-06-30
Adanaspor,Adanaspor,Yılmaz Vural,810,yilmaz-vural,Türkiye,2003-02-20,2004-01-14
Adanaspor,Adanaspor,Bahri Kaya,17749,bahri-kaya,Türkiye,2002-02-19,2003-02-20
Adanaspor,Adanaspor,Rıdvan Dilmen,69200,ridvan-dilmen,Türkiye,2001-08-09,2002-02-18
Adanaspor,Adanaspor,Joachim Löw,495,joachim-low,Germany,2000-12-20,2001-03-01
Adanaspor,Adanaspor,Hikmet Karaman,801,hikmet-karaman,Türkiye,1999-12-01,2000-12-07
Adanaspor,Adanaspor,Nenad Bijedic,2609,nenad-bijedic,Bosnia-Herzegovina,1999-07-01,1999-11-29
Adanaspor,Adanaspor,Ziya Doğan,795,ziya-dogan,Türkiye,1999-05-13,1999-06-30
Adanaspor,Adanaspor,Gheorghe Mulțescu,5429,gheorghe-multescu,Romania,1998-10-06,1999-05-13
Adanaspor,Adanaspor,Fuad Muzurovic,4111,fuad-muzurovic,Bosnia-Herzegovina,1998-07-01,1998-09-30
Adanaspor,Adanaspor,Ercan Albay,10323,ercan-albay,Türkiye,1997-07-01,1998-06-30
Adanaspor,Adanaspor,Ümit Kayıhan,802,umit-kayihan,Türkiye,1997-04-01,1997-06-30
Adanaspor,Adanaspor,Ali Osman Renklibay,64761,ali-osman-renklibay,Türkiye,1996-07-05,1997-04-03
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,gunduz-tekin-onay,Türkiye,1994-09-30,1996-03-20
Adanaspor,Adanaspor,Necip Erdoğan,60117,necip-erdogan,Türkiye,1994-07-01,1994-09-05
Adanaspor,Adanaspor,Aydın Tohumcu,124322,aydin-tohumcu,Türkiye,1993-11-22,1994-03-25
Adanaspor,Adanaspor,Ender Konca,108766,ender-konca,Türkiye,1993-09-10,1993-11-17
Adanaspor,Adanaspor,Necip Erdoğan,60117,necip-erdogan,Türkiye,1993-03-03,1993-09-10
Adanaspor,Adanaspor,Yücel İldiz,5204,yucel-ildiz,Türkiye,1991-10-30,1992-11-02
Adanaspor,Adanaspor,İsa Ertürk,85275,isa-erturk,Türkiye,1991-07-18,1991-10-24
Adanaspor,Adanaspor,Yılmaz Vural,810,yilmaz-vural,Türkiye,1991-03-13,1991-06-30
Adanaspor,Adanaspor,Gündüz Tekin Onay,60108,gunduz-tekin-onay,Türkiye,1990-09-17,1991-02-21
Adanaspor,Adanaspor,Necip Erdoğan,60117,necip-erdogan,Türkiye,1990-07-01,1990-09-16
Adanaspor,Adanaspor,Djordje Milic,28493,djordje-milic,Serbia,1989-09-01,1990-06-30
