news_uid,source,team,date,title,url,actual_url,matched_manager,match_type,body,lead,body_available,fetch_status
4d2c94cb6037,google_news,Alanyaspor,2025-07-17,"Joao Pereira: Türkiye'de antrenman yapmak, çalışmak için gerçekten çok iyi şartlar var - Anadolu Ajansı",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPUlJoUE0wSGotMFlBd3ZyYzlzOU1HZndQbGdNejJ2V0I5bWJ4UnlsRnJKc2kzT0tTdEZVUDI1bkRtWlZCbUwtV0Z2a3RIMk1VNzQ5QWw0Q3NyeHlqaUNjamdMejZCT09KeE5QcktQMnZweV9HSHQ4cGhDWTRvc0pZb1NwemtzT0kzcF9naksxZEtkRFpHeExsSUFFUEJqLVNUTEhUTXhEZFFJOUNULUF6X1A2R3pEQVc4RHFPb2o2UkQ?oc=5,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPUlJoUE0wSGotMFlBd3ZyYzlzOU1HZndQbGdNejJ2V0I5bWJ4UnlsRnJKc2kzT0tTdEZVUDI1bkRtWlZCbUwtV0Z2a3RIMk1VNzQ5QWw0Q3NyeHlqaUNjamdMejZCT09KeE5QcktQMnZweV9HSHQ4cGhDWTRvc0pZb1NwemtzT0kzcF9naksxZEtkRFpHeExsSUFFUEJqLVNUTEhUTXhEZFFJOUNULUF6X1A2R3pEQVc4RHFPb2o2UkQ?oc=5,João Pereira,name,"Joao Pereira: Türkiye'de antrenman yapmak, çalışmak için gerçekten çok iyi şartlar var","Joao Pereira: Türkiye'de antrenman yapmak, çalışmak için gerçekten çok iyi şartlar var",False,title_only
c1af4d8e938e,google_news,Alanyaspor,2025-07-17,Portekizli teknik direktöre göre Süper Lig Avrupa'nın ilk beşinde - Yeniçağ Gazetesi,https://news.google.com/rss/articles/CBMirAFBVV95cUxNbGNOR1NIMUtJMTVaa1drV1FfaTBUODVfUmRYcWl4amtHTmhRZ1FXMVlicllsaTFkS3NUdXo4NG9UdTM3a1FkSkFTc1I5bFJXbzJtUXhuOElZXzMyenJtT0RiLUVSb0VmVk5ZdEtLUHFLQ0hLbUNacFRJNnl4QUphYnNyaVFKUGgydlVURW8tM01jbEVpVG94MG5hNkU2b3l6OHEzdUJ6ekUzaXVO?oc=5,https://news.google.com/rss/articles/CBMirAFBVV95cUxNbGNOR1NIMUtJMTVaa1drV1FfaTBUODVfUmRYcWl4amtHTmhRZ1FXMVlicllsaTFkS3NUdXo4NG9UdTM3a1FkSkFTc1I5bFJXbzJtUXhuOElZXzMyenJtT0RiLUVSb0VmVk5ZdEtLUHFLQ0hLbUNacFRJNnl4QUphYnNyaVFKUGgydlVURW8tM01jbEVpVG94MG5hNkU2b3l6OHEzdUJ6ekUzaXVO?oc=5,,keyword,Portekizli teknik direktöre göre Süper Lig Avrupa'nın ilk beşinde,Portekizli teknik direktöre göre Süper Lig Avrupa'nın ilk beşinde,False,title_only
7e5ca06edea7,google_news,Alanyaspor,2025-07-28,Alanyaspor Teknik Direktörü Joao Pereira'dan Mourinho'ya övgü dolu sözler: 'Teknik direktörlüğün Ronaldo'su!' - Hürriyet,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPMm5VZXpxVVY1YW9XZUVjZjJneHVMWnVzZXBKTGlvem5abDlhQy1RWlE3b0hQZENUTzFXR0hOMi1aaXhRV204LWRsaEg3QVY1UTBHNjFNNDdLY2xlX0ZfWTFYd2Fmc1JkemwzMmJpWFAxRFBRNmpwaGR1dkNleFI4Ui10OVplRnlqMTNLaGE2Qi1zSklmTVp4alhfWlZfbnU0empZWVJRUWJaWUFEX05HdmlwdHBGR3gyNml1R0VEX2h4bm1hLTRIOUhSRnBpX1hKcVNBQ2pzNHdydTV4ejBILTlLcw?oc=5,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPMm5VZXpxVVY1YW9XZUVjZjJneHVMWnVzZXBKTGlvem5abDlhQy1RWlE3b0hQZENUTzFXR0hOMi1aaXhRV204LWRsaEg3QVY1UTBHNjFNNDdLY2xlX0ZfWTFYd2Fmc1JkemwzMmJpWFAxRFBRNmpwaGR1dkNleFI4Ui10OVplRnlqMTNLaGE2Qi1zSklmTVp4alhfWlZfbnU0empZWVJRUWJaWUFEX05HdmlwdHBGR3gyNml1R0VEX2h4bm1hLTRIOUhSRnBpX1hKcVNBQ2pzNHdydTV4ejBILTlLcw?oc=5,João Pereira,name+keyword,Alanyaspor Teknik Direktörü Joao Pereira'dan Mourinho'ya övgü dolu sözler: 'Teknik direktörlüğün Ronaldo'su!',Alanyaspor Teknik Direktörü Joao Pereira'dan Mourinho'ya övgü dolu sözler: 'Teknik direktörlüğün Ronaldo'su!',False,title_only
2016b43e20e8,google_news,Alanyaspor,2025-09-06,Antalya'da şok eden karar: Emniyet müdürü görevden uzaklaştırıldı - Alanya Postası,https://news.google.com/rss/articles/CBMinAFBVV95cUxQYURmd1NIRGFteF9EWV8zd2RGSUhsYm5rQ1ZjcGl6RXVaeGZJZ21ORl9nVS1lWmNXckE0TU9reDU2UXpUYWxQS3hxRU91WUNWbXVlSmRNTWlpWVNXVXNSWW9xX0FiSVVsTmtRMkl4UDJldjhJZVN6YjNBX0Uwb3J1RGgtLW1ZYUVueWc2NWE0b1NVRjZrMmFVX2w1LUM?oc=5,https://news.google.com/rss/articles/CBMinAFBVV95cUxQYURmd1NIRGFteF9EWV8zd2RGSUhsYm5rQ1ZjcGl6RXVaeGZJZ21ORl9nVS1lWmNXckE0TU9reDU2UXpUYWxQS3hxRU91WUNWbXVlSmRNTWlpWVNXVXNSWW9xX0FiSVVsTmtRMkl4UDJldjhJZVN6YjNBX0Uwb3J1RGgtLW1ZYUVueWc2NWE0b1NVRjZrMmFVX2w1LUM?oc=5,,keyword,Antalya'da şok eden karar: Emniyet müdürü görevden uzaklaştırıldı,Antalya'da şok eden karar: Emniyet müdürü görevden uzaklaştırıldı,False,title_only
d33a55aa05f4,google_news,Alanyaspor,2025-09-14,Alanyaspor Teknik Direktörü: 'Galibiyet almak çok zor' - Alanya Haber - Alanya Son Dakika Haberleri - Alanya Postası,https://news.google.com/rss/articles/CBMijAFBVV95cUxNajdRWWJ1SDd6dHhLNEE3ZC1WZkhtb1VXcTIxeGZxZzlQT19HS0o0X2xhaXdrbVlkd0RzSGN2ZWJxNExOMVlraHVXTWJxdVh1dVdsSTlsZG5YSkNjSGs0amtvWi1xVGwyUF91dEZWTmxOTlB6NUVJN0k4TUpfS2pza0lYU0ROalYyUUlZUg?oc=5,https://news.google.com/rss/articles/CBMijAFBVV95cUxNajdRWWJ1SDd6dHhLNEE3ZC1WZkhtb1VXcTIxeGZxZzlQT19HS0o0X2xhaXdrbVlkd0RzSGN2ZWJxNExOMVlraHVXTWJxdVh1dVdsSTlsZG5YSkNjSGs0amtvWi1xVGwyUF91dEZWTmxOTlB6NUVJN0k4TUpfS2pza0lYU0ROalYyUUlZUg?oc=5,,keyword,Alanyaspor Teknik Direktörü: 'Galibiyet almak çok zor' - Alanya Haber - Alanya Son Dakika Haberleri,Alanyaspor Teknik Direktörü: 'Galibiyet almak çok zor' - Alanya Haber - Alanya Son Dakika Haberleri,False,title_only
a19224820dc2,google_news,Alanyaspor,2025-09-17,"Joao Pereira: ""3 puanı hak ettiğimizi düşünüyorum"" - beinsports.com.tr",https://news.google.com/rss/articles/CBMihgFBVV95cUxOSWpsdmVzNXExSm5VZW9QOVhzMGhkTWtzNUZiX182MFR5T19hNXE4S3VRbzNCWkJsMzZ4UzBQTUl4V2NiUENuRC1YZEtzTmFUUDBWdXBkSl93ck9QdFFEcEFGV0lFd3B3MGN0NWxXU2pQMHRNOTM4TWdYSTIwaTNVb1VIeldIdw?oc=5,https://news.google.com/rss/articles/CBMihgFBVV95cUxOSWpsdmVzNXExSm5VZW9QOVhzMGhkTWtzNUZiX182MFR5T19hNXE4S3VRbzNCWkJsMzZ4UzBQTUl4V2NiUENuRC1YZEtzTmFUUDBWdXBkSl93ck9QdFFEcEFGV0lFd3B3MGN0NWxXU2pQMHRNOTM4TWdYSTIwaTNVb1VIeldIdw?oc=5,João Pereira,name,"Joao Pereira: ""3 puanı hak ettiğimizi düşünüyorum""","Joao Pereira: ""3 puanı hak ettiğimizi düşünüyorum""",False,title_only
fbdd815a8ed9,google_news,Alanyaspor,2025-09-17,Fenerbahçe Teknik Direktörü Tedesco: Takımda özgüven eksikliği var - Gazete Oksijen,https://news.google.com/rss/articles/CBMipgFBVV95cUxPNWdzajNzQ1ZjMzI1N1Z1b3N4bGcwZ2NjSUdtZFU2Z0dhMjRwZ2xDaW1UeWFpeXhrUm1LaXZudzlGa29NWl9yemNWZ252RDhXX1lUV1g2Q0FkcXl2S3JBZ1dLZXNMQVFiMVc1Y1dLdWtyd0I2QWlpVzJ4M01wNGVhNzY1b2tLRGNObE1QajBNUTVkdEtib0VLQUNiMzJ1TzUtc18zZ01n?oc=5,https://news.google.com/rss/articles/CBMipgFBVV95cUxPNWdzajNzQ1ZjMzI1N1Z1b3N4bGcwZ2NjSUdtZFU2Z0dhMjRwZ2xDaW1UeWFpeXhrUm1LaXZudzlGa29NWl9yemNWZ252RDhXX1lUV1g2Q0FkcXl2S3JBZ1dLZXNMQVFiMVc1Y1dLdWtyd0I2QWlpVzJ4M01wNGVhNzY1b2tLRGNObE1QajBNUTVkdEtib0VLQUNiMzJ1TzUtc18zZ01n?oc=5,,keyword,Fenerbahçe Teknik Direktörü Tedesco: Takımda özgüven eksikliği var,Fenerbahçe Teknik Direktörü Tedesco: Takımda özgüven eksikliği var,False,title_only
93ad2cbb5a85,google_news,Alanyaspor,2025-09-18,Alanyaspor Teknik Direktörü Joao Pereira: Konuşursam sorun çıkabilir - Coredon Alanyaspor Haberleri - Habertürk,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPWFdIWGgwcW05blptRHBrS1F6bERkd0VXem9WalBMY2VQWGVoM2RNSUtOMXpFV21SODNvazZZNGJLa1hILXFDbG5JYUd5Yy1oOG9RZE45ZENBSGNvMmhkNDY0ckxPSHNGdnZYWEhuU205dnluNHF5VTcwQTFfbTRPeHJGN1dKYXhXM1gtbUgzbldMQ3V2cXhpbjdnTHZyQXRUcEoxdWRIcVBIdw?oc=5,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPWFdIWGgwcW05blptRHBrS1F6bERkd0VXem9WalBMY2VQWGVoM2RNSUtOMXpFV21SODNvazZZNGJLa1hILXFDbG5JYUd5Yy1oOG9RZE45ZENBSGNvMmhkNDY0ckxPSHNGdnZYWEhuU205dnluNHF5VTcwQTFfbTRPeHJGN1dKYXhXM1gtbUgzbldMQ3V2cXhpbjdnTHZyQXRUcEoxdWRIcVBIdw?oc=5,João Pereira,name+keyword,Alanyaspor Teknik Direktörü Joao Pereira: Konuşursam sorun çıkabilir - Coredon Alanyaspor Haberleri,Alanyaspor Teknik Direktörü Joao Pereira: Konuşursam sorun çıkabilir - Coredon Alanyaspor Haberleri,False,title_only
3cb0fb1b8efa,google_news,Alanyaspor,2025-09-18,Teknik Direktör Mustafa Sarp'tan Fenerbahçe - Alanyaspor maçına teknik bakış: Bloklar arası geçiş oldukça zayıftı - Fanatik,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPeHE1VlF0WF9zZmZLaVJ3ZVFNOG91Y2VvTEp6eUU4Z2NZQWlqWTFNZVExTUpCQkZQYWJBcTR3OURULTF4akljd3hVbC1uQS1OaU81cmJsYjlxd2JXWFc1RGt1ZXpkVjFYbFNKenEzUHd2VElZYTBUelJBWUg4TUFveEoyVjVTVWJFeUVyZUZ6Z2o3UEEyWkFtdXVmLVAtbXFfcklKcmdqUUZ2LTR6TDdjZlVxMjd2N2N1OWx6ZW1vU2xqb3B1UjdBMGRJME5iREZ0Rno2RXFWOUJ2U0NEYy1qM0prdlBfVHZZNGNn?oc=5,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPeHE1VlF0WF9zZmZLaVJ3ZVFNOG91Y2VvTEp6eUU4Z2NZQWlqWTFNZVExTUpCQkZQYWJBcTR3OURULTF4akljd3hVbC1uQS1OaU81cmJsYjlxd2JXWFc1RGt1ZXpkVjFYbFNKenEzUHd2VElZYTBUelJBWUg4TUFveEoyVjVTVWJFeUVyZUZ6Z2o3UEEyWkFtdXVmLVAtbXFfcklKcmdqUUZ2LTR6TDdjZlVxMjd2N2N1OWx6ZW1vU2xqb3B1UjdBMGRJME5iREZ0Rno2RXFWOUJ2U0NEYy1qM0prdlBfVHZZNGNn?oc=5,,keyword,Teknik Direktör Mustafa Sarp'tan Fenerbahçe - Alanyaspor maçına teknik bakış: Bloklar arası geçiş oldukça zayıftı,Teknik Direktör Mustafa Sarp'tan Fenerbahçe - Alanyaspor maçına teknik bakış: Bloklar arası geçiş oldukça zayıftı,False,title_only
8c848a3d5a56,google_news,Alanyaspor,2025-09-21,Joao Pereira: Geleceğe odaklanmamız gerekiyor! - Alanyaspor - Spor Haberleri - Milliyet,https://news.google.com/rss/articles/CBMikAFBVV95cUxQc2JNdWJoWFV6TDlfX0htTEpQU3p0Zk81NHoweXRBbnM1VXVodXVCcW1jNmRhZDVoZVo3RGxjNndLRXY0QmtKbmpiOWxDRnhxeExfWXpqT20tanZKRjNLNGZzSmItNG91eXIxUm5kNFBtUm00UGU2Y2JJV2xDam5FNkQ5TG5uMUljZVBTT3VXRDM?oc=5,https://news.google.com/rss/articles/CBMikAFBVV95cUxQc2JNdWJoWFV6TDlfX0htTEpQU3p0Zk81NHoweXRBbnM1VXVodXVCcW1jNmRhZDVoZVo3RGxjNndLRXY0QmtKbmpiOWxDRnhxeExfWXpqT20tanZKRjNLNGZzSmItNG91eXIxUm5kNFBtUm00UGU2Y2JJV2xDam5FNkQ5TG5uMUljZVBTT3VXRDM?oc=5,João Pereira,name,Joao Pereira: Geleceğe odaklanmamız gerekiyor! - Alanyaspor - Spor Haberleri,Joao Pereira: Geleceğe odaklanmamız gerekiyor! - Alanyaspor - Spor Haberleri,False,title_only
