team,gameweek,week_start,avg_score,avg_score_pct,n_articles,n_relevant
Alanyaspor,2025-W29,2025-07-14,0.0,0.0,2,0
Alanyaspor,2025-W31,2025-07-28,0.0,0.0,1,0
Alanyaspor,2025-W36,2025-09-01,0.0,0.0,1,0
Alanyaspor,2025-W37,2025-09-08,0.0,0.0,1,0
Alanyaspor,2025-W38,2025-09-15,0.2,5.0,5,1
Alanyaspor,2025-W39,2025-09-22,0.0,0.0,6,0
Alanyaspor,2025-W42,2025-10-13,0.0,0.0,1,0
Alanyaspor,2025-W43,2025-10-20,0.75,18.8,4,1
Alanyaspor,2025-W44,2025-10-27,0.0,0.0,1,0
Alanyaspor,2025-W45,2025-11-03,0.0,0.0,2,0
Alanyaspor,2025-W48,2025-11-24,0.0,0.0,1,0
Alanyaspor,2025-W49,2025-12-01,0.0,0.0,1,0
Alanyaspor,2025-W51,2025-12-15,4.0,100.0,5,5
Alanyaspor,2025-W52,2025-12-22,0.0,0.0,5,0
Alanyaspor,2026-W03,2026-01-12,0.667,16.7,3,2
Alanyaspor,2026-W04,2026-01-19,0.0,0.0,4,0
Alanyaspor,2026-W05,2026-01-26,1.8,45.0,10,6
Alanyaspor,2026-W06,2026-02-02,0.0,0.0,6,0
Alanyaspor,2026-W07,2026-02-09,0.0,0.0,4,0
Alanyaspor,2026-W08,2026-02-16,0.0,0.0,3,0
Alanyaspor,2026-W09,2026-02-23,0.0,0.0,3,0
Alanyaspor,2026-W10,2026-03-02,1.333,33.3,3,1
Alanyaspor,2026-W11,2026-03-09,0.5,12.5,2,1
Alanyaspor,2026-W12,2026-03-16,1.0,25.0,3,1
Alanyaspor,2026-W15,2026-04-06,0.0,0.0,8,0
Alanyaspor,2026-W16,2026-04-13,1.25,31.2,8,3
Alanyaspor,2026-W17,2026-04-20,2.0,50.0,3,2
Antalyaspor,2025-W27,2025-06-30,4.0,100.0,1,1
Antalyaspor,2025-W32,2025-08-04,0.0,0.0,2,0
Antalyaspor,2025-W35,2025-08-25,0.0,0.0,1,0
Antalyaspor,2025-W37,2025-09-08,0.0,0.0,3,0
Antalyaspor,2025-W39,2025-09-22,0.5,12.5,2,1
Antalyaspor,2025-W40,2025-09-29,3.125,78.1,16,15
Antalyaspor,2025-W41,2025-10-06,2.55,63.8,40,28
Antalyaspor,2025-W42,2025-10-13,0.0,0.0,5,0
Antalyaspor,2025-W43,2025-10-20,0.0,0.0,2,0
Antalyaspor,2025-W44,2025-10-27,0.0,0.0,1,0
Antalyaspor,2025-W45,2025-11-03,1.0,25.0,3,1
Antalyaspor,2025-W48,2025-11-24,1.2,30.0,5,3
Antalyaspor,2025-W49,2025-12-01,2.0,50.0,1,1
Antalyaspor,2025-W50,2025-12-08,0.0,0.0,6,0
Antalyaspor,2025-W51,2025-12-15,2.067,51.7,30,19
Antalyaspor,2025-W52,2025-12-22,3.5,87.5,2,2
Antalyaspor,2026-W01,2025-12-29,0.059,1.5,17,2
Antalyaspor,2026-W02,2026-01-05,0.0,0.0,2,0
Antalyaspor,2026-W03,2026-01-12,0.0,0.0,3,0
Antalyaspor,2026-W04,2026-01-19,4.0,100.0,1,1
Antalyaspor,2026-W05,2026-01-26,0.0,0.0,1,0
Antalyaspor,2026-W06,2026-02-02,0.0,0.0,2,0
Antalyaspor,2026-W07,2026-02-09,2.5,62.5,8,5
Antalyaspor,2026-W08,2026-02-16,0.0,0.0,1,0
Antalyaspor,2026-W09,2026-02-23,0.75,18.8,4,1
Antalyaspor,2026-W10,2026-03-02,0.0,0.0,4,0
Antalyaspor,2026-W11,2026-03-09,0.0,0.0,1,0
Antalyaspor,2026-W12,2026-03-16,0.0,0.0,2,0
Antalyaspor,2026-W13,2026-03-23,0.0,0.0,1,0
Antalyaspor,2026-W14,2026-03-30,0.0,0.0,1,0
Antalyaspor,2026-W15,2026-04-06,0.0,0.0,4,0
Antalyaspor,2026-W16,2026-04-13,0.0,0.0,3,0
Besiktas,2025-W28,2025-07-07,0.0,0.0,2,0
Besiktas,2025-W30,2025-07-21,1.0,25.0,2,1
Besiktas,2025-W31,2025-07-28,1.6,40.0,10,8
Besiktas,2025-W32,2025-08-04,0.0,0.0,5,1
Besiktas,2025-W33,2025-08-11,0.0,0.0,1,0
Besiktas,2025-W34,2025-08-18,0.0,0.0,1,0
Besiktas,2025-W35,2025-08-25,2.19,54.8,42,27
Besiktas,2025-W36,2025-09-01,0.75,18.8,4,1
Besiktas,2025-W37,2025-09-08,0.667,16.7,6,1
Besiktas,2025-W38,2025-09-15,0.0,0.0,2,0
Besiktas,2025-W40,2025-09-29,0.0,0.0,4,0
Besiktas,2025-W41,2025-10-06,2.667,66.7,3,2
Besiktas,2025-W42,2025-10-13,0.0,0.0,1,0
Besiktas,2025-W43,2025-10-20,0.0,0.0,2,0
Besiktas,2025-W44,2025-10-27,1.0,25.0,3,1
Besiktas,2025-W45,2025-11-03,3.0,75.0,1,1
Besiktas,2025-W46,2025-11-10,0.0,0.0,4,0
