news_uid,team,date,matched_manager,match_type,body_available,body
65fc57d1dc90,Fenerbahce,2025-08-07,José Mourinho,name+keyword,False,Jose Mourinho'dan transfer ve ayrılık yanıtı!
3aa04db2de40,Konyaspor,2025-10-19,Recep Uçar,name+keyword,False,Taraftardan 'Recep Uçar istifa' sesleri!
9a84a2fd10f8,Antalyaspor,2025-07-03,Emre Belözoğlu,name+keyword,False,"Emre Belözoğlu'ndan hiç beklenmedik karar! Antalyaspor'dan istifa etmişti, her şey 1 hafta sürdü... Açıklamalar peş peşe geldi! - Antalyaspor"
f72f46d77537,Genclerbirligi,2025-12-07,Volkan Demirel,name+keyword,False,Gençlerbirliği Teknik Direktörü Volkan Demirel istifa etti
55eefed5af10,Galatasaray,2026-04-21,Okan Buruk,name,False,Okan Buruk'tan kupada sürpriz hamle: Gençlerbirliği maçı rotasyon sinyali
984ac333b0a7,Trabzonspor,2026-04-21,Fatih Tekke,name+keyword,False,Trabzonspor teknik direktörü Fatih Tekke'den beraberlik sonrası oyunculara mesaj! 'Kaldırın kafanızı bırakmak yok'
e4c6da4fcc31,Besiktas,2025-08-29,Sergen Yalçın,name+keyword,False,Beşiktaş'ın yeni teknik direktörü Sergen Yalçın
451ced610dc2,Fenerbahce,2025-09-09,Domenico Tedesco,name+keyword,False,Fenerbahçe'nin yeni teknik direktörü Domenico Tedesco kimdir?
93c95688bc10,Trabzonspor,2025-07-01,,keyword,False,Trabzonspor’da ayrılık! Attığı golle hafızalara kazınmıştı
95e511f8bc49,Kayserispor,2025-10-07,Markus Gisdol,name+keyword,False,Markus Gisdol'den sonra Kayserispor'un yeni hocası belli oldu mu? Jakirovic etkisi yaratacak...
