team,season,manager_out,trainer_id_out,fire_date,last_pre_n,first_post_n,n_pre_avail,n_post_avail
Ad. Demirspor,2024-2025,Mustafa Dalcı,63323,2025-01-28,20,21,20,16
Ad. Demirspor,2024-2025,Serkan Damla,44479,2024-11-27,12,13,12,24
Ad. Demirspor,2024-2025,Michael Valkanis,20119,2024-09-23,6,7,6,30
Ad. Demirspor,2023-2024,Serkan Damla,44479,2024-01-18,20,21,20,18
Ad. Demirspor,2023-2024,Patrick Kluivert,15093,2023-12-04,14,15,14,24
Ad. Demirspor,2021-2022,Samet Aybaba,5002,2021-08-29,3,4,3,35
Ad. Demirspor,1994-1995,Kemal Omeragic,59973,1995-04-12,29,30,29,5
Ad. Demirspor,1994-1995,Samet Aybaba,5002,1995-02-23,22,23,22,12
Adanaspor,2016-2017,Levent Şahin,2628,2017-04-13,27,28,27,7
Adanaspor,2016-2017,Krunoslav Jurcic,4756,2016-12-05,13,14,13,21
Adanaspor,2003-2004,Yılmaz Vural,810,2004-01-14,17,18,17,17
Adanaspor,2000-2001,Joachim Löw,495,2001-03-01,22,23,22,12
Adanaspor,2000-2001,Hikmet Karaman,801,2000-12-07,15,16,15,19
Adanaspor,1999-2000,Nenad Bijedic,2609,1999-11-29,10,11,10,24
Adanaspor,1998-1999,Gheorghe Mulțescu,5429,1999-05-13,31,32,31,3
Adanaspor,1998-1999,Fuad Muzurovic,4111,1998-09-30,7,8,7,27
Akhisar Belediyespor,2018-2019,Cihat Arslan,5540,2019-02-13,21,22,21,13
Akhisar Belediyespor,2018-2019,Safet Susic,2026,2018-09-17,5,6,5,29
Akhisar Belediyespor,2016-2017,Tolunay Kafkas,5006,2017-03-18,25,26,25,9
Akhisar Belediyespor,2014-2015,Mustafa Reşit Akçay,15266,2014-12-31,15,16,15,19
Alanyaspor,2024-2025,Sami Uğurlu,90166,2025-03-20,27,28,27,9
Alanyaspor,2024-2025,Fatih Tekke,29046,2024-11-07,11,12,11,25
Alanyaspor,2023-2024,Ömer Erdoğan,41081,2023-10-29,10,11,10,28
Alanyaspor,2022-2023,Ersun Yanal,811,2023-04-19,29,30,29,7
Alanyaspor,2022-2023,Francesco Farioli,73923,2023-02-27,22,23,22,14
Alanyaspor,2021-2022,Bülent Korkmaz,4176,2021-12-30,19,20,19,19
Alanyaspor,2021-2022,Çağdaş Atan,46594,2021-09-02,3,4,3,35
Alanyaspor,2018-2019,Mesut Bakkal,784,2018-11-06,11,12,11,23
Alanyaspor,2017-2018,Hikmet Karaman,801,2018-02-26,23,24,23,11
Alanyaspor,2017-2018,Safet Susic,2026,2017-12-25,17,18,17,17
Alanyaspor,2016-2017,Hüseyin Kalpar,12053,2017-01-16,17,18,17,17
Altay,2021-2022,Serkan Özbalta,59420,2022-03-21,30,31,30,8
Altay,2021-2022,Mustafa Denizli,7875,2022-01-13,20,21,20,18
Altay,1999-2000,Turgut Uçar,2821,2000-04-18,29,30,29,5
Altay,1999-2000,Mehmet Celal Bölgen,77061,2000-03-06,23,24,23,11
Altay,1999-2000,Ümit Kayıhan,802,1999-11-12,8,9,8,26
Altay,1998-1999,Zinnur Sarı,63248,1999-04-19,28,29,28,6
Altay,1998-1999,Sakıp Özberk,814,1998-11-24,13,14,13,21
Altay,1997-1998,Marian Bondrea,22719,1997-09-26,7,8,7,27
Altay,1996-1997,Ivan Kyuchukov,54666,1996-10-30,11,12,11,23
Altay,1995-1996,Raşit Çetiner,4097,1995-10-20,8,9,8,26
Ankaragucu,2023-2024,Tolunay Kafkas,5006,2023-10-02,7,8,7,31
Ankaragucu,2022-2023,Sedat Ağçay,107881,2023-03-23,24,25,24,12
Ankaragucu,2022-2023,Ömer Erdoğan,41081,2023-02-06,21,22,21,15
Ankaragucu,2022-2023,Mustafa Dalcı,63323,2022-08-27,3,4,3,33
Ankaragucu,2020-2021,Mustafa Dalcı,63323,2021-02-09,22,23,22,18
Ankaragucu,2020-2021,Mustafa Dalcı,63323,2021-01-23,19,20,19,21
Ankaragucu,2020-2021,Fuat Çapa,2043,2020-11-25,7,8,7,33
Ankaragucu,2019-2020,Mustafa Reşit Akçay,15266,2020-06-23,28,29,28,6
Ankaragucu,2019-2020,Mustafa Kaplan,27861,2020-01-22,18,19,18,16
Ankaragucu,2019-2020,Metin Diyadin,5199,2019-11-12,11,12,11,23
Ankaragucu,2019-2020,Aykan Atik,38129,2019-09-03,3,4,3,31
Ankaragucu,2018-2019,Bayram Bektaş,30871,2019-01-13,17,18,17,17
Ankaragucu,2018-2019,İsmail Kartal,6366,2018-12-15,16,17,16,18
Ankaragucu,2011-2012,Ziya Doğan,795,2011-12-13,15,16,15,19
Ankaragucu,2010-2011,Ümit Özat,10719,2011-02-28,23,24,23,11
Ankaragucu,2009-2010,Nazmi Erdenerin,12285,2010-01-05,16,17,16,16
Ankaragucu,2009-2010,Hikmet Karaman,801,2009-11-17,11,12,11,21
Ankaragucu,2008-2009,Hakan Kutlu,5471,2009-03-26,25,26,25,9
Ankaragucu,2008-2009,Ünal Karaman,4776,2009-01-06,16,17,16,18
Ankaragucu,2008-2009,Hakan Kutlu,5471,2008-10-24,7,8,7,27
Ankaragucu,2007-2008,Hans-Peter Briegel,24,2007-10-25,9,10,9,25
Ankaragucu,2005-2006,Safet Susic,2026,2006-02-09,19,20,19,15
Ankaragucu,2005-2006,Adnan Şentürk,16989,2005-09-21,6,7,6,28
Ankaragucu,2004-2005,Sakıp Özberk,814,2005-02-14,19,20,19,15
Ankaragucu,2004-2005,Reha Kapsal,2018,2004-11-29,14,15,14,20
Ankaragucu,2003-2004,Rıza Çalımbay,789,2004-05-13,33,34,33,1
Ankaragucu,2003-2004,Tevfik Lav,57966,2003-11-12,12,13,12,22
Ankaragucu,1999-2000,Gheorghe Mulțescu,5429,2000-03-23,25,26,25,9
Ankaragucu,1999-2000,Tınaz Tırpan,25611,1999-09-27,5,6,5,29
Ankaragucu,1998-1999,Samet Aybaba,5002,1998-11-22,13,14,13,21
Ankaragucu,1995-1996,Ali Osman Renklibay,64761,1995-10-19,8,9,8,26
Ankaraspor,2007-2008,Hikmet Karaman,801,2008-03-04,24,25,24,10
Ankaraspor,2007-2008,Aykut Kocaman,1061,2007-10-08,8,9,8,26
Ankaraspor,2005-2006,Rıza Çalımbay,789,2006-01-23,18,19,18,16
Ankaraspor,2005-2006,Alper Boğuşlu,2626,2005-11-10,12,13,12,22
Ankaraspor,2005-2006,Samet Aybaba,5002,2005-11-10,12,13,12,22
Antalya,1994-1995,Adnan Dinçer,63332,1994-12-16,16,17,16,18
Antalyaspor,2025-2026,Alaattin Gülerce,49793,2026-01-02,17,18,17,12
Antalyaspor,2025-2026,Erol Bulut,40285,2025-12-17,16,17,16,13
Antalyaspor,2025-2026,Emre Belözoğlu,82796,2025-10-08,8,9,8,21
Antalyaspor,2024-2025,Alex,91297,2025-01-13,18,19,18,18
Antalyaspor,2023-2024,Nuri Şahin,96813,2023-12-31,17,18,17,21
Antalyaspor,2021-2022,Ersun Yanal,811,2021-10-04,8,9,8,30
Antalyaspor,2020-2021,Tamer Tuna,30988,2020-10-30,6,7,6,34
Antalyaspor,2019-2020,Stjepan Tomas,33374,2020-01-06,17,18,17,17
Antalyaspor,2019-2020,Bülent Korkmaz,4176,2019-11-15,11,12,11,23
Antalyaspor,2017-2018,David Badia Cequier,56577,2018-01-16,17,18,17,17
Antalyaspor,2017-2018,Leonardo,8631,2017-12-07,14,15,14,20
Antalyaspor,2017-2018,Rıza Çalımbay,789,2017-09-19,5,6,5,29
Antalyaspor,2016-2017,José Morais,434,2016-10-06,6,7,6,28
Antalyaspor,2015-2016,Samuel Eto'o,99122,2016-01-05,17,18,17,17
Antalyaspor,2015-2016,Mehmet Uğurlu,43867,2016-01-06,17,18,17,17
Antalyaspor,2015-2016,Yusuf Şimşek,19920,2015-12-08,14,15,14,20
Antalyaspor,2013-2014,Samet Aybaba,5002,2014-03-10,24,25,24,10
Antalyaspor,2008-2009,Jozef Jarabinsky,7416,2008-11-06,9,10,9,25
Antalyaspor,2001-2002,Mehmet Ali Öztürk,67791,2002-01-02,17,18,17,17
Antalyaspor,2001-2002,Hüseyin Kalpar,12053,2001-11-19,12,13,12,22
Antalyaspor,2001-2002,Cezmi Turhan,67790,2001-08-31,3,4,3,31
Antalyaspor,1999-2000,Rüdiger Abramczik,6206,2000-05-01,31,32,31,3
Antalyaspor,1996-1997,Ümit Kayıhan,802,1997-01-17,17,18,17,17
Balikesirspor,2014-2015,Kemal Özdeş,3106,2015-04-27,28,29,28,6
Balikesirspor,2014-2015,İsmail Ertekin,17012,2014-11-25,10,11,10,24
Besiktas,2024-2025,Serdar Topraktepe,88763,2025-01-19,19,20,19,17
Besiktas,2024-2025,Giovanni van Bronckhorst,20014,2024-11-30,12,13,12,24
Besiktas,2023-2024,Fernando Santos,782,2024-04-13,32,33,32,6
Besiktas,2023-2024,Serdar Topraktepe,88763,2024-01-09,19,20,19,19
Besiktas,2023-2024,Rıza Çalımbay,789,2023-12-21,16,17,16,22
Besiktas,2023-2024,Burak Yılmaz,117405,2023-11-10,11,12,11,27
Besiktas,2023-2024,Şenol Güneş,2332,2023-10-06,7,8,7,31
Besiktas,2022-2023,Valérien Ismaël,12871,2022-10-26,11,12,11,25
Besiktas,2021-2022,Önder Karaveli,38319,2022-03-25,30,31,30,8
Besiktas,2021-2022,Önder Karaveli,38319,2022-01-13,20,21,20,18
Besiktas,2021-2022,Sergen Yalçın,32128,2021-12-09,15,16,15,23
Besiktas,2019-2020,Abdullah Avcı,5078,2020-01-29,19,20,19,15
Besiktas,2011-2012,Carlos Carvalhal,1588,2012-04-02,33,34,33,1
Besiktas,2010-2011,Bernd Schuster,555,2011-03-15,25,26,25,9
Besiktas,2008-2009,Ertuğrul Sağlam,2019,2008-10-14,6,7,6,28
Besiktas,2005-2006,Rıza Çalımbay,789,2005-10-31,11,12,11,23
Besiktas,2004-2005,Vicente del Bosque,40,2005-01-27,17,18,17,17
Besiktas,2000-2001,Nevio Scala,693,2001-03-06,23,24,23,11
Besiktas,1998-1999,Fuat Yaman,5212,1999-03-17,24,25,24,10
Besiktas,1998-1999,John Toshack,1825,1999-02-23,21,22,21,13
Bodrumspor,2024-2025,Volkan Demirel,72485,2025-01-31,21,22,21,15
Bodrumspor,2024-2025,İsmet Taşdemir,18920,2024-10-29,10,11,10,26
Bucaspor,2010-2011,Samet Aybaba,5002,2011-04-04,27,28,27,7
Bucaspor,2010-2011,Bülent Uygun,5014,2010-10-06,7,8,7,27
Bursaspor,2018-2019,Samet Aybaba,5002,2019-04-07,27,28,27,7
Bursaspor,2017-2018,Paul Le Guen,1234,2018-04-10,28,29,28,6
Bursaspor,2016-2017,Mutlu Topçu,2618,2017-05-01,29,30,29,5
Bursaspor,2016-2017,Hamza Hamzaoğlu,8536,2017-01-21,18,19,18,16
Bursaspor,2015-2016,Ersel Uzğur,22410,2015-12-18,15,16,15,19
Bursaspor,2015-2016,Ertuğrul Sağlam,2019,2015-11-30,13,14,13,21
Bursaspor,2013-2014,Christoph Daum,38,2014-03-25,26,27,26,8
Bursaspor,2012-2013,Ersel Uzğur,22410,2013-03-06,24,25,24,10
Bursaspor,2012-2013,Ertuğrul Sağlam,2019,2013-02-05,20,21,20,14
Bursaspor,2008-2009,Güvenç Kurtar,804,2008-12-23,16,17,16,18
Bursaspor,2008-2009,Samet Aybaba,5002,2008-11-04,9,10,9,25
Bursaspor,2007-2008,Mehmet Kulaksızoğlu,22418,2007-10-22,9,10,9,25
Bursaspor,2003-2004,Ümit Kayıhan,802,2004-03-04,23,24,23,11
Bursaspor,2003-2004,Gheorghe Hagi,85,2003-11-15,12,13,12,22
Bursaspor,2000-2001,Jörg Berger,16,2000-10-27,9,10,9,25
Bursaspor,1999-2000,Kemal Batmaz,75943,1999-09-15,3,4,3,31
Bursaspor,1998-1999,Ahmet Akcan,4708,1999-02-23,21,22,21,13
Bursaspor,1998-1999,Nenad Bijedic,2609,1998-12-10,15,16,15,19
Bursaspor,1997-1998,Rasim Kara,28492,1998-04-13,30,31,30,4
Bursaspor,1995-1996,Nenad Bijedic,2609,1996-04-30,31,32,31,3
Bursaspor,1994-1995,Nevzat Güzelırmak,60737,1994-11-24,14,15,14,20
Buyuksehyr,2023-2024,Emre Belözoğlu,82796,2023-09-06,3,4,3,35
Buyuksehyr,2021-2022,Aykut Kocaman,1061,2021-10-04,8,9,8,30
Buyuksehyr,2020-2021,Okan Buruk,23531,2021-01-29,20,21,20,20
Buyuksehyr,2012-2013,Carlos Carvalhal,1588,2012-11-12,11,12,11,23
Buyuksehyr,2011-2012,Abdullah Avcı,5078,2011-11-18,10,11,10,24
Dardanelspor,1998-1999,Rasim Kara,28492,1999-03-17,24,25,24,10
Dardanelspor,1998-1999,Milorad Mitrovic,10481,1998-10-26,9,10,9,25
Dardanelspor,1998-1999,Ümit Erol Tok,5211,1998-09-22,6,7,6,28
Dardanelspor,1996-1997,Raşit Çetiner,4097,1996-12-11,16,17,16,18
Denizlispor,2020-2021,Hakan Kutlu,5471,2021-04-18,33,34,33,7
Denizlispor,2020-2021,Yalçın Koşukavak,32976,2021-01-28,20,21,20,20
Denizlispor,2020-2021,Robert Prosinecki,6653,2020-11-25,8,9,8,32
Denizlispor,2019-2020,Bülent Uygun,5014,2020-07-04,30,31,30,4
Denizlispor,2019-2020,Mehmet Özdilek,815,2020-02-21,22,23,22,12
Denizlispor,2019-2020,Yücel İldiz,5204,2019-10-08,7,8,7,27
Denizlispor,2009-2010,Erhan Altın,9012,2009-09-01,3,4,3,29
