team,gameweek,n_news,avg_grade,n_relevant
Alanyaspor,2025-W29,2,0.0,0
Alanyaspor,2025-W31,1,0.0,0
Alanyaspor,2025-W36,1,0.0,0
Alanyaspor,2025-W37,1,0.0,0
Alanyaspor,2025-W38,5,0.5625,4
Alanyaspor,2025-W39,6,0.25,2
Alanyaspor,2025-W42,1,0.0,0
Alanyaspor,2025-W43,4,0.75,1
Alanyaspor,2025-W44,1,1.0,1
Alanyaspor,2025-W45,2,0.5,2
Alanyaspor,2025-W48,1,0.5,1
Alanyaspor,2025-W49,1,0.0,0
Alanyaspor,2025-W51,5,0.95,5
Alanyaspor,2025-W52,5,0.25,2
Alanyaspor,2026-W03,3,0.75,2
Alanyaspor,2026-W04,4,0.6875,4
Alanyaspor,2026-W05,10,0.675,10
Alanyaspor,2026-W06,6,0.65,5
Alanyaspor,2026-W07,4,0.9167,3
Alanyaspor,2026-W08,3,0.75,2
Alanyaspor,2026-W09,3,0.0,0
Alanyaspor,2026-W10,3,0.75,3
Alanyaspor,2026-W11,2,0.25,2
Alanyaspor,2026-W12,3,0.75,1
Alanyaspor,2026-W15,8,0.5,1
Alanyaspor,2026-W16,8,0.875,6
Alanyaspor,2026-W17,3,0.9167,3
Antalyaspor,2025-W27,1,1.0,1
Antalyaspor,2025-W32,2,1.0,2
Antalyaspor,2025-W35,1,0.75,1
Antalyaspor,2025-W37,3,0.875,2
Antalyaspor,2025-W39,2,0.5,2
Antalyaspor,2025-W40,16,0.9038,13
Antalyaspor,2025-W41,40,0.85,35
Antalyaspor,2025-W42,5,0.5,2
Antalyaspor,2025-W43,2,0.0,0
Antalyaspor,2025-W44,1,0.5,1
Antalyaspor,2025-W45,3,0.6667,3
Antalyaspor,2025-W48,5,0.5,5
Antalyaspor,2025-W49,1,0.75,1
Antalyaspor,2025-W50,6,0.5625,4
Antalyaspor,2025-W51,30,0.5917,30
Antalyaspor,2025-W52,2,0.625,2
Antalyaspor,2026-W01,17,0.2083,6
Antalyaspor,2026-W02,2,0.0,2
Antalyaspor,2026-W03,3,0.0,0
Antalyaspor,2026-W04,1,1.0,1
Antalyaspor,2026-W05,1,1.0,1
Antalyaspor,2026-W06,2,0.25,2
Antalyaspor,2026-W07,8,0.9167,3
Antalyaspor,2026-W08,1,0.0,0
Antalyaspor,2026-W09,4,0.75,3
Antalyaspor,2026-W10,4,0.5,2
Antalyaspor,2026-W11,1,0.75,1
Antalyaspor,2026-W12,2,0.0,0
Antalyaspor,2026-W13,1,0.0,1
Antalyaspor,2026-W14,1,1.0,1
Antalyaspor,2026-W15,4,0.0,0
Antalyaspor,2026-W16,3,0.0,0
Besiktas,2025-W28,2,1.0,1
Besiktas,2025-W30,2,0.5,1
Besiktas,2025-W31,10,0.525,10
Besiktas,2025-W32,5,0.625,2
Besiktas,2025-W33,1,0.0,0
Besiktas,2025-W34,1,0.0,0
Besiktas,2025-W35,42,0.6176,17
Besiktas,2025-W36,4,0.875,2
Besiktas,2025-W37,6,0.5,5
Besiktas,2025-W38,2,0.0,0
Besiktas,2025-W40,4,0.75,2
Besiktas,2025-W41,3,1.0,2
Besiktas,2025-W42,1,1.0,1
Besiktas,2025-W43,2,0.0,1
Besiktas,2025-W44,3,0.8333,3
Besiktas,2025-W45,1,0.75,1
Besiktas,2025-W46,4,0.3333,3
Besiktas,2025-W47,11,0.775,10
Besiktas,2025-W48,2,0.5,2
Besiktas,2025-W49,5,0.85,5
Besiktas,2025-W50,12,0.8333,12
Besiktas,2025-W51,1,1.0,1
Besiktas,2025-W52,11,0.5,9
Besiktas,2026-W01,3,1.0,2
Besiktas,2026-W02,6,0.875,2
Besiktas,2026-W03,2,0.0,0
Besiktas,2026-W04,2,0.0,0
Besiktas,2026-W05,9,0.8333,9
Besiktas,2026-W06,1,1.0,1
Besiktas,2026-W07,2,0.875,2
Besiktas,2026-W09,1,0.0,0
Besiktas,2026-W10,1,0.0,1
Besiktas,2026-W12,2,0.0,0
Besiktas,2026-W13,1,0.75,1
Besiktas,2026-W14,1,0.0,0
Besiktas,2026-W15,1,1.0,1
Besiktas,2026-W16,6,0.4,5
Besiktas,2026-W17,12,0.7,10
Buyuksehyr,2025-W29,1,0.0,0
Buyuksehyr,2025-W32,1,0.0,0
Buyuksehyr,2025-W33,1,0.0,0
Buyuksehyr,2025-W34,2,0.0,0
Buyuksehyr,2025-W35,2,0.0,0
Buyuksehyr,2025-W37,30,0.6125,20
Buyuksehyr,2025-W38,11,0.75,4
Buyuksehyr,2025-W39,1,0.0,0
Buyuksehyr,2025-W41,4,0.0,3
Buyuksehyr,2025-W42,1,0.75,1
Buyuksehyr,2025-W43,3,0.875,2
Buyuksehyr,2025-W44,2,0.0,0
Buyuksehyr,2025-W45,4,0.5,4
Buyuksehyr,2025-W48,3,0.25,2
Buyuksehyr,2025-W49,4,0.5625,4
Buyuksehyr,2025-W50,3,1.0,3
Buyuksehyr,2025-W51,9,0.9167,9
Buyuksehyr,2025-W52,1,1.0,1
Buyuksehyr,2026-W03,1,0.0,0
Buyuksehyr,2026-W05,1,0.75,1
Buyuksehyr,2026-W06,6,0.95,5
Buyuksehyr,2026-W07,5,0.75,3
Buyuksehyr,2026-W08,6,0.5833,3
Buyuksehyr,2026-W09,3,1.0,1
Buyuksehyr,2026-W10,2,1.0,1
Buyuksehyr,2026-W11,2,0.75,1
Buyuksehyr,2026-W14,3,1.0,1
Buyuksehyr,2026-W15,4,1.0,1
Buyuksehyr,2026-W16,7,0.0,1
Buyuksehyr,2026-W17,2,0.0,1
Eyupspor,2025-W28,1,0.75,1
Eyupspor,2025-W29,1,0.0,0
Eyupspor,2025-W33,1,0.25,1
Eyupspor,2025-W34,1,0.0,0
Eyupspor,2025-W38,2,1.0,2
Eyupspor,2025-W40,21,0.8929,21
Eyupspor,2025-W41,12,0.15,10
Eyupspor,2025-W42,28,0.0,1
Eyupspor,2025-W43,3,0.0,0
Eyupspor,2025-W47,1,0.0,0
Eyupspor,2025-W51,2,0.0,0
Eyupspor,2025-W52,1,1.0,1
Eyupspor,2026-W01,13,0.9231,13
Eyupspor,2026-W02,4,0.9375,4
Eyupspor,2026-W03,13,0.0625,4
Eyupspor,2026-W04,3,0.875,2
Eyupspor,2026-W05,4,0.875,2
Eyupspor,2026-W06,1,0.0,0
Eyupspor,2026-W07,3,0.5,2
Eyupspor,2026-W08,2,0.0,1
Eyupspor,2026-W09,3,0.875,2
Eyupspor,2026-W11,1,0.5,1
Eyupspor,2026-W12,1,0.75,1
Eyupspor,2026-W14,1,0.0,0
Eyupspor,2026-W16,2,0.625,2
Fenerbahce,2025-W28,1,0.0,1
Fenerbahce,2025-W29,1,0.0,0
Fenerbahce,2025-W32,2,0.25,1
Fenerbahce,2025-W33,2,0.0,0
Fenerbahce,2025-W34,5,0.625,4
Fenerbahce,2025-W35,55,0.6824,37
