match_date,team,opponent,gf,ga,FTR,home,goal_diff,points,match_n,trainer_id,manager_name,event_time,change_index,post,match_week_monday,prev_week_monday,exp_lag1,nationality,age_at_appointment
2025-08-16,Alanyaspor,Rizespor,0,0,D,1,0,1,1,93770,João Pereira,,-1,,2025-08-11,2025-08-04,0.0,Portugal,41.1
2025-08-25,Alanyaspor,Eyupspor,1,2,H,0,-1,0,2,93770,João Pereira,,-1,,2025-08-25,2025-08-18,0.0,Portugal,41.1
2025-08-31,Alanyaspor,Besiktas,2,0,H,1,2,3,3,93770,João Pereira,,-1,,2025-08-25,2025-08-18,0.0,Portugal,41.1
2025-09-13,Alanyaspor,Konyaspor,2,1,A,0,1,3,4,93770,João Pereira,,-1,,2025-09-08,2025-09-01,0.0,Portugal,41.1
2025-09-17,Alanyaspor,Fenerbahce,2,2,D,0,0,1,5,93770,João Pereira,,-1,,2025-09-15,2025-09-08,0.0,Portugal,41.1
2025-09-21,Alanyaspor,Buyuksehyr,1,1,D,0,0,1,6,93770,João Pereira,,-1,,2025-09-15,2025-09-08,0.0,Portugal,41.1
2025-09-26,Alanyaspor,Galatasaray,0,1,A,1,-1,0,7,93770,João Pereira,,-1,,2025-09-22,2025-09-15,0.25,Portugal,41.1
2025-10-04,Alanyaspor,Genclerbirligi,2,2,D,0,0,1,8,93770,João Pereira,,-1,,2025-09-29,2025-09-22,0.0,Portugal,41.1
2025-10-19,Alanyaspor,Goztep,1,0,H,1,1,3,9,93770,João Pereira,,-1,,2025-10-13,2025-10-06,0.0,Portugal,41.1
2025-10-25,Alanyaspor,Kocaelispor,0,2,H,0,-2,0,10,93770,João Pereira,,-1,,2025-10-20,2025-10-13,0.0,Portugal,41.1
2025-11-03,Alanyaspor,Gaziantep,0,0,D,1,0,1,11,93770,João Pereira,,-1,,2025-11-03,2025-10-27,0.0,Portugal,41.1
2025-11-08,Alanyaspor,Trabzonspor,1,1,D,0,0,1,12,93770,João Pereira,,-1,,2025-11-03,2025-10-27,0.0,Portugal,41.1
2025-11-23,Alanyaspor,Kasimpasa,1,2,A,1,-1,0,13,93770,João Pereira,,-1,,2025-11-17,2025-11-10,0.0,Portugal,41.1
2025-12-01,Alanyaspor,Samsunspor,1,1,D,0,0,1,14,93770,João Pereira,,-1,,2025-12-01,2025-11-24,0.0,Portugal,41.1
2025-12-08,Alanyaspor,Antalyaspor,0,0,D,1,0,1,15,93770,João Pereira,,-1,,2025-12-08,2025-12-01,0.0,Portugal,41.1
2025-12-13,Alanyaspor,Kayserispor,0,0,D,0,0,1,16,93770,João Pereira,,-1,,2025-12-08,2025-12-01,0.0,Portugal,41.1
2025-12-21,Alanyaspor,Karagumruk,2,0,H,1,2,3,17,93770,João Pereira,,-1,,2025-12-15,2025-12-08,0.0,Portugal,41.1
2026-01-18,Alanyaspor,Fenerbahce,2,3,A,1,-1,0,18,93770,João Pereira,,-1,,2026-01-12,2026-01-05,0.0,Portugal,41.1
2026-01-25,Alanyaspor,Rizespor,1,1,D,0,0,1,19,93770,João Pereira,,-1,,2026-01-19,2026-01-12,0.25,Portugal,41.1
