match_date,team,opponent,gf,ga,FTR,home,goal_diff,points,match_n,trainer_id,manager_name,event_time,change_index,post,match_week_monday,prev_week_monday,exp_lag1,nationality,age_at_appointment
2025-08-09,Antalyaspor,Kasimpasa,2,1,H,1,1,3,1,82796,Emre Belözoğlu,-8.0,2,0.0,2025-08-04,2025-07-28,0.0,Türkiye,43.1
2025-08-17,Antalyaspor,Genclerbirligi,1,0,A,0,1,3,2,82796,Emre Belözoğlu,-7.0,2,0.0,2025-08-11,2025-08-04,0.0,Türkiye,43.1
2025-08-24,Antalyaspor,Trabzonspor,0,1,H,0,-1,0,3,82796,Emre Belözoğlu,-6.0,2,0.0,2025-08-18,2025-08-11,0.0,Türkiye,43.1
2025-08-30,Antalyaspor,Karagumruk,1,2,A,1,-1,0,4,82796,Emre Belözoğlu,-5.0,2,0.0,2025-08-25,2025-08-18,0.0,Türkiye,43.1
2025-09-13,Antalyaspor,Samsunspor,2,1,A,0,1,3,5,82796,Emre Belözoğlu,-4.0,2,0.0,2025-09-08,2025-09-01,0.0,Türkiye,43.1
2025-09-20,Antalyaspor,Kayserispor,1,1,D,1,0,1,6,82796,Emre Belözoğlu,-3.0,2,0.0,2025-09-15,2025-09-08,0.0,Türkiye,43.1
2025-09-28,Antalyaspor,Fenerbahce,0,2,H,0,-2,0,7,82796,Emre Belözoğlu,-2.0,2,0.0,2025-09-22,2025-09-15,0.0,Türkiye,43.1
2025-10-03,Antalyaspor,Rizespor,2,5,A,1,-3,0,8,82796,Emre Belözoğlu,-1.0,2,0.0,2025-09-29,2025-09-22,0.25,Türkiye,43.1
2025-10-19,Antalyaspor,Gaziantep,2,3,H,0,-1,0,9,40285,Erol Bulut,0.0,2,1.0,2025-10-13,2025-10-06,0.9107,Türkiye,44.4
2025-10-26,Antalyaspor,Buyuksehyr,0,4,A,1,-4,0,10,40285,Erol Bulut,1.0,2,1.0,2025-10-20,2025-10-13,0.0,Türkiye,44.4
