season,match_date,team,opponent,gf,ga,FTR,home,goal_diff,points,match_n,trainer_id,manager_name,event_time,change_index,manager_out,fire_date,post,match_week_monday,prev_week_monday,exp_lag1,nationality,age_at_appointment
2003-2004,2003-08-10,A. Sebatspor,Denizlispor,0.0,2.0,A,1,-2.0,0,1,,,,-1,,,,2003-08-04,2003-07-28,,,
2003-2004,2003-08-17,A. Sebatspor,Malatyaspor,1.0,3.0,H,0,-2.0,0,2,,,,-1,,,,2003-08-11,2003-08-04,,,
2003-2004,2003-08-23,A. Sebatspor,Istanbulspor,1.0,3.0,A,1,-2.0,0,3,,,,-1,,,,2003-08-18,2003-08-11,,,
2003-2004,2003-08-31,A. Sebatspor,Trabzonspor,1.0,2.0,H,0,-1.0,0,4,,,,-1,,,,2003-08-25,2003-08-18,,,
2003-2004,2003-09-14,A. Sebatspor,Elazigspor,3.0,1.0,H,1,2.0,3,5,,,,-1,,,,2003-09-08,2003-09-01,,,
2003-2004,2003-09-21,A. Sebatspor,Diyarbakirspor,0.0,1.0,H,0,-1.0,0,6,,,,-1,,,,2003-09-15,2003-09-08,,,
2003-2004,2003-09-28,A. Sebatspor,Gaziantepspor,1.0,2.0,A,1,-1.0,0,7,,,,-1,,,,2003-09-22,2003-09-15,,,
2003-2004,2003-10-04,A. Sebatspor,Galatasaray,3.0,4.0,H,0,-1.0,0,8,,,,-1,,,,2003-09-29,2003-09-22,,,
2003-2004,2003-10-19,A. Sebatspor,Genclerbirligi,0.0,3.0,A,1,-3.0,0,9,,,,-1,,,,2003-10-13,2003-10-06,,,
2003-2004,2003-10-26,A. Sebatspor,Konyaspor,0.0,0.0,D,0,0.0,1,10,,,,-1,,,,2003-10-20,2003-10-13,,,
2003-2004,2003-11-02,A. Sebatspor,Fenerbahce,1.0,1.0,D,1,0.0,1,11,,,,-1,,,,2003-10-27,2003-10-20,,,
2003-2004,2003-11-08,A. Sebatspor,Adanaspor,2.0,1.0,A,0,1.0,3,12,,,,-1,,,,2003-11-03,2003-10-27,,,
2003-2004,2003-11-23,A. Sebatspor,Bursaspor,1.0,1.0,D,0,0.0,1,13,,,,-1,,,,2003-11-17,2003-11-10,,,
2003-2004,2003-11-29,A. Sebatspor,Rizespor,1.0,0.0,H,1,1.0,3,14,,,,-1,,,,2003-11-24,2003-11-17,,,
2003-2004,2003-12-06,A. Sebatspor,Samsunspor,1.0,1.0,D,0,0.0,1,15,,,,-1,,,,2003-12-01,2003-11-24,,,
2003-2004,2003-12-13,A. Sebatspor,Besiktas,1.0,2.0,A,1,-1.0,0,16,,,,-1,,,,2003-12-08,2003-12-01,,,
2003-2004,2003-12-21,A. Sebatspor,Ankaragucu,1.0,1.0,D,0,0.0,1,17,,,,-1,,,,2003-12-15,2003-12-08,,,
2003-2004,2004-01-24,A. Sebatspor,Denizlispor,2.0,1.0,A,0,1.0,3,18,,,,-1,,,,2004-01-19,2004-01-12,,,
2003-2004,2004-02-01,A. Sebatspor,Malatyaspor,2.0,2.0,D,1,0.0,1,19,,,,-1,,,,2004-01-26,2004-01-19,,,
2003-2004,2004-02-08,A. Sebatspor,Istanbulspor,3.0,1.0,A,0,2.0,3,20,,,,-1,,,,2004-02-02,2004-01-26,,,
2003-2004,2004-02-15,A. Sebatspor,Trabzonspor,0.0,0.0,D,1,0.0,1,21,,,,-1,,,,2004-02-09,2004-02-02,,,
2003-2004,2004-02-23,A. Sebatspor,Elazigspor,1.0,3.0,H,0,-2.0,0,22,,,,-1,,,,2004-02-23,2004-02-16,,,
2003-2004,2004-02-29,A. Sebatspor,Diyarbakirspor,0.0,1.0,A,1,-1.0,0,23,,,,-1,,,,2004-02-23,2004-02-16,,,
2003-2004,2004-03-07,A. Sebatspor,Gaziantepspor,2.0,2.0,D,0,0.0,1,24,,,,-1,,,,2004-03-01,2004-02-23,,,
2003-2004,2004-03-13,A. Sebatspor,Galatasaray,2.0,1.0,H,1,1.0,3,25,,,,-1,,,,2004-03-08,2004-03-01,,,
2003-2004,2004-03-21,A. Sebatspor,Genclerbirligi,1.0,3.0,H,0,-2.0,0,26,,,,-1,,,,2004-03-15,2004-03-08,,,
2003-2004,2004-03-27,A. Sebatspor,Konyaspor,1.0,1.0,D,1,0.0,1,27,,,,-1,,,,2004-03-22,2004-03-15,,,
2003-2004,2004-04-03,A. Sebatspor,Fenerbahce,2.0,4.0,H,0,-2.0,0,28,,,,-1,,,,2004-03-29,2004-03-22,,,
2003-2004,2004-04-10,A. Sebatspor,Adanaspor,4.0,3.0,H,1,1.0,3,29,,,,-1,,,,2004-04-05,2004-03-29,,,
