season,match_date,team,opponent,gf,ga,FTR,home,goal_diff,points,match_n,trainer_id,manager_name,event_time,change_index,manager_out,fire_date,post,match_week_monday,prev_week_monday,exp_lag1,nationality,age_at_appointment
1994-1995,1994-11-13,Ad. Demirspor,Bursaspor,0.0,2.0,H,0,-2.0,0,13,5002,Samet Aybaba,-10.0,7,Samet Aybaba,1995-02-23,0.0,1994-11-07,1994-10-31,,Türkiye,66.1
1994-1995,1994-11-19,Ad. Demirspor,Galatasaray,1.0,2.0,A,1,-1.0,0,14,5002,Samet Aybaba,-9.0,7,Samet Aybaba,1995-02-23,0.0,1994-11-14,1994-11-07,,Türkiye,66.1
1994-1995,1994-11-27,Ad. Demirspor,Genclerbirligi,0.0,0.0,D,0,0.0,1,15,5002,Samet Aybaba,-8.0,7,Samet Aybaba,1995-02-23,0.0,1994-11-21,1994-11-14,,Türkiye,66.1
1994-1995,1994-12-04,Ad. Demirspor,P. Ofisi,1.0,1.0,D,1,0.0,1,16,5002,Samet Aybaba,-7.0,7,Samet Aybaba,1995-02-23,0.0,1994-11-28,1994-11-21,,Türkiye,66.1
1994-1995,1994-12-18,Ad. Demirspor,Altay,2.0,3.0,H,0,-1.0,0,17,5002,Samet Aybaba,-6.0,7,Samet Aybaba,1995-02-23,0.0,1994-12-12,1994-12-05,,Türkiye,66.1
1994-1995,1995-01-23,Ad. Demirspor,Antalya,1.0,2.0,H,0,-1.0,0,18,5002,Samet Aybaba,-5.0,7,Samet Aybaba,1995-02-23,0.0,1995-01-23,1995-01-16,,Türkiye,66.1
1994-1995,1995-01-29,Ad. Demirspor,Kayseri,0.0,2.0,A,1,-2.0,0,19,5002,Samet Aybaba,-4.0,7,Samet Aybaba,1995-02-23,0.0,1995-01-23,1995-01-16,,Türkiye,66.1
1994-1995,1995-02-05,Ad. Demirspor,Samsunspor,1.0,5.0,H,0,-4.0,0,20,5002,Samet Aybaba,-3.0,7,Samet Aybaba,1995-02-23,0.0,1995-01-30,1995-01-23,,Türkiye,66.1
1994-1995,1995-02-12,Ad. Demirspor,Besiktas,0.0,1.0,A,1,-1.0,0,21,5002,Samet Aybaba,-2.0,7,Samet Aybaba,1995-02-23,0.0,1995-02-06,1995-01-30,,Türkiye,66.1
1994-1995,1995-02-19,Ad. Demirspor,Gaziantepspor,0.0,2.0,H,0,-2.0,0,22,5002,Samet Aybaba,-1.0,7,Samet Aybaba,1995-02-23,0.0,1995-02-13,1995-02-06,,Türkiye,66.1
1994-1995,1995-02-26,Ad. Demirspor,Fenerbahce,0.0,1.0,A,1,-1.0,0,23,59973,Kemal Omeragic,0.0,7,Samet Aybaba,1995-02-23,1.0,1995-02-20,1995-02-13,,Serbia,63.4
1994-1995,1995-03-05,Ad. Demirspor,Ankaragucu,0.0,3.0,H,0,-3.0,0,24,59973,Kemal Omeragic,1.0,7,Samet Aybaba,1995-02-23,1.0,1995-02-27,1995-02-20,,Serbia,63.4
1994-1995,1995-03-12,Ad. Demirspor,Denizlispor,1.0,1.0,D,1,0.0,1,25,59973,Kemal Omeragic,2.0,7,Samet Aybaba,1995-02-23,1.0,1995-03-06,1995-02-27,,Serbia,63.4
1994-1995,1995-03-19,Ad. Demirspor,Kocaelispor,1.0,1.0,D,0,0.0,1,26,59973,Kemal Omeragic,3.0,7,Samet Aybaba,1995-02-23,1.0,1995-03-13,1995-03-06,,Serbia,63.4
1994-1995,1995-03-26,Ad. Demirspor,Vanspor,0.0,0.0,D,1,0.0,1,27,59973,Kemal Omeragic,4.0,7,Samet Aybaba,1995-02-23,1.0,1995-03-20,1995-03-13,,Serbia,63.4
1994-1995,1995-04-02,Ad. Demirspor,Zeytinburnu,1.0,2.0,A,1,-1.0,0,28,59973,Kemal Omeragic,5.0,7,Samet Aybaba,1995-02-23,1.0,1995-03-27,1995-03-20,,Serbia,63.4
1994-1995,1995-04-08,Ad. Demirspor,Trabzonspor,0.0,7.0,H,0,-7.0,0,29,59973,Kemal Omeragic,6.0,7,Samet Aybaba,1995-02-23,1.0,1995-04-03,1995-03-27,,Serbia,63.4
1994-1995,1995-04-16,Ad. Demirspor,Bursaspor,2.0,3.0,A,1,-1.0,0,30,69590,Cengiz Hoşfikirer,7.0,7,Samet Aybaba,1995-02-23,1.0,1995-04-10,1995-04-03,,Türkiye,36.9
1994-1995,1995-04-30,Ad. Demirspor,Galatasaray,0.0,3.0,H,0,-3.0,0,31,69590,Cengiz Hoşfikirer,8.0,7,Samet Aybaba,1995-02-23,1.0,1995-04-24,1995-04-17,,Türkiye,36.9
1994-1995,1995-05-07,Ad. Demirspor,Genclerbirligi,0.0,7.0,A,1,-7.0,0,32,69590,Cengiz Hoşfikirer,9.0,7,Samet Aybaba,1995-02-23,1.0,1995-05-01,1995-04-24,,Türkiye,36.9
1994-1995,1995-05-13,Ad. Demirspor,P. Ofisi,0.0,2.0,H,0,-2.0,0,33,69590,Cengiz Hoşfikirer,10.0,7,Samet Aybaba,1995-02-23,1.0,1995-05-08,1995-05-01,,Türkiye,36.9
2021-2022,2021-08-15,Ad. Demirspor,Fenerbahce,0.0,1.0,A,1,-1.0,0,1,5002,Samet Aybaba,-3.0,5,Samet Aybaba,2021-08-29,0.0,2021-08-09,2021-08-02,,Türkiye,66.1
2021-2022,2021-08-20,Ad. Demirspor,Kayserispor,1.0,1.0,D,0,0.0,1,2,5002,Samet Aybaba,-2.0,5,Samet Aybaba,2021-08-29,0.0,2021-08-16,2021-08-09,,Türkiye,66.1
2021-2022,2021-08-27,Ad. Demirspor,Konyaspor,1.0,1.0,D,1,0.0,1,3,5002,Samet Aybaba,-1.0,5,Samet Aybaba,2021-08-29,0.0,2021-08-23,2021-08-16,,Türkiye,66.1
2021-2022,2021-09-11,Ad. Demirspor,Karagumruk,0.0,4.0,H,0,-4.0,0,4,11795,Vincenzo Montella,0.0,5,Samet Aybaba,2021-08-29,1.0,2021-09-06,2021-08-30,,Italy,47.2
2021-2022,2021-09-18,Ad. Demirspor,Rizespor,3.0,1.0,H,1,2.0,3,5,11795,Vincenzo Montella,1.0,5,Samet Aybaba,2021-08-29,1.0,2021-09-13,2021-09-06,,Italy,47.2
2021-2022,2021-09-21,Ad. Demirspor,Besiktas,3.0,3.0,D,0,0.0,1,6,11795,Vincenzo Montella,2.0,5,Samet Aybaba,2021-08-29,1.0,2021-09-20,2021-09-13,,Italy,47.2
2021-2022,2021-09-25,Ad. Demirspor,Gaziantep,4.0,0.0,H,1,4.0,3,7,11795,Vincenzo Montella,3.0,5,Samet Aybaba,2021-08-29,1.0,2021-09-20,2021-09-13,,Italy,47.2
2021-2022,2021-10-01,Ad. Demirspor,Antalyaspor,2.0,1.0,A,0,1.0,3,8,11795,Vincenzo Montella,4.0,5,Samet Aybaba,2021-08-29,1.0,2021-09-27,2021-09-20,,Italy,47.2
2021-2022,2021-10-16,Ad. Demirspor,Yeni Malatyaspor,0.0,2.0,A,1,-2.0,0,9,11795,Vincenzo Montella,5.0,5,Samet Aybaba,2021-08-29,1.0,2021-10-11,2021-10-04,,Italy,47.2
2021-2022,2021-10-24,Ad. Demirspor,Sivasspor,1.0,1.0,D,0,0.0,1,10,11795,Vincenzo Montella,6.0,5,Samet Aybaba,2021-08-29,1.0,2021-10-18,2021-10-11,,Italy,47.2
2021-2022,2021-11-01,Ad. Demirspor,Buyuksehyr,1.0,2.0,H,0,-1.0,0,11,11795,Vincenzo Montella,7.0,5,Samet Aybaba,2021-08-29,1.0,2021-11-01,2021-10-25,,Italy,47.2
2021-2022,2021-11-07,Ad. Demirspor,Hatayspor,1.0,0.0,H,1,1.0,3,12,11795,Vincenzo Montella,8.0,5,Samet Aybaba,2021-08-29,1.0,2021-11-01,2021-10-25,,Italy,47.2
2021-2022,2021-11-21,Ad. Demirspor,Altay,3.0,1.0,A,0,2.0,3,13,11795,Vincenzo Montella,9.0,5,Samet Aybaba,2021-08-29,1.0,2021-11-15,2021-11-08,,Italy,47.2
